States/UTs,Year,CrimeHead,Male upto 14 years,Male 15-29 years,Male 30-44 years,Male 45-59 years,Male 60 years and above,Female upto 14 years,Female 15-29 years,Female 30-44 years,Female 45-59 years,Female 60 years and above
Chhattisgarh,2014,Retired Persons,0,0,0,2,6,0,0,0,0,0
Chhattisgarh,2014,Others,16,466,379,236,145,16,232,58,69,48
Chhattisgarh,2014,Total,55,1471,1222,766,249,43,1039,480,245,113
Goa,2014,Housewife,0,0,0,0,0,0,13,16,9,8
Goa,2014,Profession/Salaried Persons (Total),0,20,9,7,2,0,8,2,1,0
Goa,2014,Govt. Servants (Total),0,3,2,2,0,0,0,1,0,0
Goa,2014,Central/UT Govt. Servants,0,2,0,0,0,0,0,0,0,0
Goa,2014,State Govt. Servants,0,1,1,2,0,0,0,1,0,0
Goa,2014,Other Statutory Body/etc.,0,0,1,0,0,0,0,0,0,0
Goa,2014,Private Sector Enterprises,0,17,5,4,2,0,8,1,1,0
Goa,2014,Public Sector Undertaking,0,0,2,1,0,0,0,0,0,0
Goa,2014,Students,1,6,0,0,0,2,6,0,0,0
Goa,2014,Unemployed Persons,0,15,13,15,8,0,3,1,1,3
Goa,2014,Self-employed Persons (Total),0,5,7,1,0,0,1,3,1,0
Goa,2014,Business (Total),0,5,7,1,0,0,1,3,1,0
Goa,2014,Vendor,0,0,0,0,0,0,1,2,0,0
Goa,2014,Tradesmen,0,0,0,0,0,0,0,0,0,0
Goa,2014,Others,0,5,7,1,0,0,0,1,1,0
Goa,2014,Agriculture (Total),0,0,0,0,0,0,0,0,0,0
Goa,2014,Agricultural Labourers,0,0,0,0,0,0,0,0,0,0
Goa,2014,Farmers (Sub Total),0,0,0,0,0,0,0,0,0,0
Goa,2014,Have Own Land,0,0,0,0,0,0,0,0,0,0
Goa,2014,On Contract/Lease,0,0,0,0,0,0,0,0,0,0
Goa,2014,Others,0,0,0,0,0,0,0,0,0,0
Goa,2014,Daily Wage Earner,0,11,11,5,0,0,2,0,1,0
Goa,2014,Retired Persons,0,0,0,0,3,0,0,0,0,0
Goa,2014,Others,0,7,28,24,5,0,6,1,0,0
Goa,2014,Total,1,64,68,52,18,2,39,23,13,11
Gujarat,2014,Housewife,0,0,0,0,0,2,809,605,264,89
Gujarat,2014,Profession/Salaried Persons (Total),0,177,258,115,4,0,18,16,2,0
Gujarat,2014,Govt. Servants (Total),0,23,45,28,0,0,6,6,0,0
Gujarat,2014,Central/UT Govt. Servants,0,6,13,11,0,0,0,3,0,0
Gujarat,2014,State Govt. Servants,0,4,17,11,0,0,4,3,0,0
Gujarat,2014,Other Statutory Body/etc.,0,13,15,6,0,0,2,0,0,0
Gujarat,2014,Private Sector Enterprises,0,142,198,78,4,0,9,9,1,0
Gujarat,2014,Public Sector Undertaking,0,12,15,9,0,0,3,1,1,0
Gujarat,2014,Students,8,167,8,0,0,15,165,4,0,0
Gujarat,2014,Unemployed Persons,0,188,170,82,10,0,7,1,1,2
Gujarat,2014,Self-employed Persons (Total),1,361,436,240,54,1,66,29,13,10
Gujarat,2014,Business (Total),1,149,176,102,8,0,15,4,2,1
Gujarat,2014,Vendor,0,8,6,10,0,0,0,0,0,0
Gujarat,2014,Tradesmen,0,48,67,49,0,0,2,0,0,0
Gujarat,2014,Others,1,93,103,43,8,0,13,4,2,1
Gujarat,2014,Agriculture (Total),0,174,199,104,36,1,44,23,10,9
Gujarat,2014,Agricultural Labourers,0,167,184,96,35,1,39,17,8,8
Gujarat,2014,Farmers (Sub Total),0,7,15,8,1,0,5,6,2,1
Gujarat,2014,Have Own Land,0,7,12,3,1,0,1,5,1,1
Gujarat,2014,On Contract/Lease,0,0,3,5,0,0,4,1,1,0
Gujarat,2014,Others,0,38,61,34,10,0,7,2,1,0
Gujarat,2014,Daily Wage Earner,0,220,256,108,13,0,40,22,5,5
Gujarat,2014,Retired Persons,0,2,7,32,70,0,0,0,1,30
Gujarat,2014,Others,19,654,572,252,119,8,229,88,51,24
Gujarat,2014,Total,28,1769,1707,829,270,26,1334,765,337,160
Haryana,2014,Housewife,0,0,0,0,0,1,169,88,32,15
Haryana,2014,Profession/Salaried Persons (Total),0,51,91,51,9,0,16,19,3,0
Haryana,2014,Govt. Servants (Total),0,10,23,16,4,0,4,3,1,0
Haryana,2014,Central/UT Govt. Servants,0,3,5,2,0,0,2,0,0,0
Haryana,2014,State Govt. Servants,0,5,15,14,2,0,2,2,1,0
Haryana,2014,Other Statutory Body/etc.,0,2,3,0,2,0,0,1,0,0
Haryana,2014,Private Sector Enterprises,0,29,53,23,4,0,11,14,1,0
Haryana,2014,Public Sector Undertaking,0,12,15,12,1,0,1,2,1,0
Haryana,2014,Students,12,99,8,0,2,4,36,2,0,0
Haryana,2014,Unemployed Persons,4,95,83,45,5,0,3,0,1,0
Haryana,2014,Self-employed Persons (Total),0,117,150,83,16,0,6,1,1,1
Haryana,2014,Business (Total),0,60,60,34,6,0,2,0,0,0
Haryana,2014,Vendor,0,5,9,9,0,0,0,0,0,0
Haryana,2014,Tradesmen,0,31,25,13,3,0,2,0,0,0
Haryana,2014,Others,0,24,26,12,3,0,0,0,0,0
Haryana,2014,Agriculture (Total),0,39,50,26,4,0,0,0,0,0
Haryana,2014,Agricultural Labourers,0,36,45,21,3,0,0,0,0,0
Haryana,2014,Farmers (Sub Total),0,3,5,5,1,0,0,0,0,0
Haryana,2014,Have Own Land,0,3,4,2,1,0,0,0,0,0
Haryana,2014,On Contract/Lease,0,0,1,3,0,0,0,0,0,0
Haryana,2014,Others,0,18,40,23,6,0,4,1,1,1
Haryana,2014,Daily Wage Earner,0,75,81,40,16,0,5,4,2,0
Haryana,2014,Retired Persons,0,2,2,3,3,0,0,0,0,0
Haryana,2014,Others,16,524,498,256,85,13,149,78,23,9
Haryana,2014,Total,32,963,913,478,136,18,384,192,62,25
Himachal Pradesh,2014,Housewife,0,0,0,0,0,0,42,45,27,7
Himachal Pradesh,2014,Profession/Salaried Persons (Total),0,9,17,14,4,0,2,2,1,0
Himachal Pradesh,2014,Govt. Servants (Total),0,4,9,6,1,0,1,0,0,0
Himachal Pradesh,2014,Central/UT Govt. Servants,0,2,2,0,1,0,0,0,0,0
Himachal Pradesh,2014,State Govt. Servants,0,2,6,4,0,0,1,0,0,0
Himachal Pradesh,2014,Other Statutory Body/etc.,0,0,1,2,0,0,0,0,0,0
Himachal Pradesh,2014,Private Sector Enterprises,0,5,6,7,3,0,1,2,1,0
Himachal Pradesh,2014,Public Sector Undertaking,0,0,2,1,0,0,0,0,0,0
Himachal Pradesh,2014,Students,6,18,0,0,0,1,21,0,0,0
Himachal Pradesh,2014,Unemployed Persons,0,36,36,12,8,0,10,11,0,1
Himachal Pradesh,2014,Self-employed Persons (Total),0,30,38,17,3,0,0,2,2,0
Himachal Pradesh,2014,Business (Total),0,6,11,5,1,0,0,0,0,0
Himachal Pradesh,2014,Vendor,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2014,Tradesmen,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2014,Others,0,6,11,5,1,0,0,0,0,0
Himachal Pradesh,2014,Agriculture (Total),0,22,23,12,2,0,0,2,2,0
Himachal Pradesh,2014,Agricultural Labourers,0,13,15,3,0,0,0,0,0,0
Himachal Pradesh,2014,Farmers (Sub Total),0,9,8,9,2,0,0,2,2,0
Himachal Pradesh,2014,Have Own Land,0,9,8,9,2,0,0,2,2,0
Himachal Pradesh,2014,On Contract/Lease,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2014,Others,0,2,4,0,0,0,0,0,0,0
Himachal Pradesh,2014,Daily Wage Earner,0,0,1,0,0,0,0,1,0,0
Himachal Pradesh,2014,Retired Persons,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2014,Others,0,61,58,21,7,3,39,18,8,5
Himachal Pradesh,2014,Total,6,154,150,64,22,4,114,79,38,13
Jammu & Kashmir,2014,Housewife,0,0,0,0,0,0,16,6,4,0
Jammu & Kashmir,2014,Profession/Salaried Persons (Total),0,1,12,5,0,0,0,0,0,0
Jammu & Kashmir,2014,Govt. Servants (Total),0,0,9,2,0,0,0,0,0,0
Jammu & Kashmir,2014,Central/UT Govt. Servants,0,0,8,1,0,0,0,0,0,0
Jammu & Kashmir,2014,State Govt. Servants,0,0,1,1,0,0,0,0,0,0
Jammu & Kashmir,2014,Other Statutory Body/etc.,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2014,Private Sector Enterprises,0,1,3,3,0,0,0,0,0,0
Jammu & Kashmir,2014,Public Sector Undertaking,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2014,Students,2,6,0,0,0,0,12,0,0,0
Jammu & Kashmir,2014,Unemployed Persons,0,14,9,5,1,0,12,2,0,0
Jammu & Kashmir,2014,Self-employed Persons (Total),0,14,12,6,2,0,7,2,1,0
Jammu & Kashmir,2014,Business (Total),0,1,1,0,0,0,4,0,0,0
Jammu & Kashmir,2014,Vendor,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2014,Tradesmen,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2014,Others,0,1,1,0,0,0,4,0,0,0
Jammu & Kashmir,2014,Agriculture (Total),0,13,11,6,2,0,3,2,0,0
Jammu & Kashmir,2014,Agricultural Labourers,0,8,9,6,2,0,0,0,0,0
Jammu & Kashmir,2014,Farmers (Sub Total),0,5,2,0,0,0,3,2,0,0
Jammu & Kashmir,2014,Have Own Land,0,0,1,0,0,0,0,0,0,0
Jammu & Kashmir,2014,On Contract/Lease,0,5,1,0,0,0,3,2,0,0
Jammu & Kashmir,2014,Others,0,0,0,0,0,0,0,0,1,0
Jammu & Kashmir,2014,Daily Wage Earner,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2014,Retired Persons,0,0,1,1,0,0,0,0,0,0
Jammu & Kashmir,2014,Others,1,23,20,10,5,0,28,16,2,0
Jammu & Kashmir,2014,Total,3,58,54,27,8,0,75,26,7,0
Jharkhand,2014,Housewife,0,0,0,0,0,0,55,40,9,2
Jharkhand,2014,Profession/Salaried Persons (Total),0,35,34,10,0,0,5,2,1,0
Jharkhand,2014,Govt. Servants (Total),0,9,12,3,0,0,2,0,0,0
Jharkhand,2014,Central/UT Govt. Servants,0,4,5,0,0,0,1,0,0,0
Jharkhand,2014,State Govt. Servants,0,4,3,2,0,0,1,0,0,0
Jharkhand,2014,Other Statutory Body/etc.,0,1,4,1,0,0,0,0,0,0
Jharkhand,2014,Private Sector Enterprises,0,12,13,7,0,0,3,2,1,0
Jharkhand,2014,Public Sector Undertaking,0,14,9,0,0,0,0,0,0,0
Jharkhand,2014,Students,7,79,6,5,0,9,33,3,0,0
Jharkhand,2014,Unemployed Persons,0,31,33,23,1,2,4,5,0,0
Jharkhand,2014,Self-employed Persons (Total),0,63,57,32,1,2,24,7,0,0
Jharkhand,2014,Business (Total),0,54,31,25,1,2,10,5,0,0
Jharkhand,2014,Vendor,0,11,8,4,0,0,4,0,0,0
Jharkhand,2014,Tradesmen,0,2,5,4,0,2,1,1,0,0
Jharkhand,2014,Others,0,41,18,17,1,0,5,4,0,0
Jharkhand,2014,Agriculture (Total),0,0,4,0,0,0,0,0,0,0
Jharkhand,2014,Agricultural Labourers,0,0,4,0,0,0,0,0,0,0
Jharkhand,2014,Farmers (Sub Total),0,0,0,0,0,0,0,0,0,0
Jharkhand,2014,Have Own Land,0,0,0,0,0,0,0,0,0,0
Jharkhand,2014,On Contract/Lease,0,0,0,0,0,0,0,0,0,0
Jharkhand,2014,Others,0,9,22,7,0,0,14,2,0,0
Jharkhand,2014,Daily Wage Earner,0,8,12,6,0,0,1,0,0,0
Jharkhand,2014,Retired Persons,0,0,0,0,1,0,0,0,0,0
Jharkhand,2014,Others,14,196,131,83,22,11,128,41,16,10
Jharkhand,2014,Total,21,412,273,159,25,24,250,98,26,12
Karnataka,2014,Housewife,0,0,0,0,0,0,560,423,185,107
Karnataka,2014,Profession/Salaried Persons (Total),0,248,271,136,9,0,74,41,18,2
Karnataka,2014,Govt. Servants (Total),0,31,65,58,2,0,9,16,5,1
Karnataka,2014,Central/UT Govt. Servants,0,5,9,13,1,0,0,2,0,0
Karnataka,2014,State Govt. Servants,0,18,41,36,1,0,7,13,5,1
Karnataka,2014,Other Statutory Body/etc.,0,8,15,9,0,0,2,1,0,0
Karnataka,2014,Private Sector Enterprises,0,194,172,65,5,0,64,24,8,1
Karnataka,2014,Public Sector Undertaking,0,23,34,13,2,0,1,1,5,0
Karnataka,2014,Students,26,245,6,1,0,24,253,15,0,0
Karnataka,2014,Unemployed Persons,0,201,180,73,44,0,47,9,11,1
Karnataka,2014,Self-employed Persons (Total),0,455,581,393,129,1,79,60,36,14
Karnataka,2014,Business (Total),0,159,223,133,58,1,14,18,9,4
Karnataka,2014,Vendor,0,19,57,34,31,0,2,6,3,2
Karnataka,2014,Tradesmen,0,12,27,17,2,0,1,3,3,2
Karnataka,2014,Others,0,128,139,82,25,1,11,9,3,0
Karnataka,2014,Agriculture (Total),0,209,252,198,55,0,25,15,10,4
Karnataka,2014,Agricultural Labourers,0,126,149,114,28,0,15,8,6,1
Karnataka,2014,Farmers (Sub Total),0,83,103,84,27,0,10,7,4,3
Karnataka,2014,Have Own Land,0,69,91,76,26,0,10,7,4,3
Karnataka,2014,On Contract/Lease,0,14,12,8,1,0,0,0,0,0
Karnataka,2014,Others,0,87,106,62,16,0,40,27,17,6
Karnataka,2014,Daily Wage Earner,0,212,295,177,37,0,45,19,10,5
Karnataka,2014,Retired Persons,0,9,7,9,40,0,0,1,0,0
Karnataka,2014,Others,28,1433,1399,822,218,14,499,309,335,62
Karnataka,2014,Total,54,2803,2739,1611,477,39,1557,877,595,191
Kerala,2014,Housewife,0,0,0,0,0,0,231,304,225,190
Kerala,2014,Profession/Salaried Persons (Total),0,109,183,225,26,0,37,25,29,0
Kerala,2014,Govt. Servants (Total),0,3,21,29,2,0,5,2,7,0
Kerala,2014,Central/UT Govt. Servants,0,0,1,3,0,0,3,0,0,0
Kerala,2014,State Govt. Servants,0,3,16,23,2,0,1,1,7,0
Kerala,2014,Other Statutory Body/etc.,0,0,4,3,0,0,1,1,0,0
Kerala,2014,Private Sector Enterprises,0,97,138,175,24,0,31,18,15,0
Kerala,2014,Public Sector Undertaking,0,9,24,21,0,0,1,5,7,0
Kerala,2014,Students,29,154,1,2,0,22,209,1,0,0
Kerala,2014,Unemployed Persons,0,176,243,330,377,0,67,30,31,75
Kerala,2014,Self-employed Persons (Total),0,225,572,457,296,1,32,60,67,67
Kerala,2014,Business (Total),0,90,175,192,87,0,1,0,12,2
Kerala,2014,Vendor,0,1,3,0,0,0,0,0,0,0
Kerala,2014,Tradesmen,0,23,36,35,24,0,0,0,0,0
Kerala,2014,Others,0,66,136,157,63,0,1,0,12,2
Kerala,2014,Agriculture (Total),0,93,208,219,155,0,16,26,39,51
Kerala,2014,Agricultural Labourers,0,73,181,183,131,0,16,26,39,51
Kerala,2014,Farmers (Sub Total),0,20,27,36,24,0,0,0,0,0
Kerala,2014,Have Own Land,0,16,23,29,15,0,0,0,0,0
Kerala,2014,On Contract/Lease,0,4,4,7,9,0,0,0,0,0
Kerala,2014,Others,0,42,189,46,54,1,15,34,16,14
Kerala,2014,Daily Wage Earner,0,266,590,592,218,0,26,36,43,24
Kerala,2014,Retired Persons,0,2,2,16,89,0,1,0,1,9
Kerala,2014,Others,1,194,340,370,327,0,46,37,38,70
Kerala,2014,Total,30,1126,1931,1992,1333,23,649,493,434,435
Madhya Pradesh,2014,Housewife,0,0,0,0,0,2,1250,647,194,81
Madhya Pradesh,2014,Profession/Salaried Persons (Total),4,207,125,77,15,1,59,15,3,3
Madhya Pradesh,2014,Govt. Servants (Total),0,30,41,34,2,0,7,3,1,0
Madhya Pradesh,2014,Central/UT Govt. Servants,0,6,9,4,0,0,0,0,0,0
Madhya Pradesh,2014,State Govt. Servants,0,16,24,27,1,0,7,3,0,0
Madhya Pradesh,2014,Other Statutory Body/etc.,0,8,8,3,1,0,0,0,1,0
Madhya Pradesh,2014,Private Sector Enterprises,4,123,73,33,8,1,50,9,2,3
Madhya Pradesh,2014,Public Sector Undertaking,0,54,11,10,5,0,2,3,0,0
Madhya Pradesh,2014,Students,29,270,1,0,0,29,314,2,0,0
Madhya Pradesh,2014,Unemployed Persons,0,139,103,34,7,2,30,13,3,2
Madhya Pradesh,2014,Self-employed Persons (Total),1,537,580,324,107,5,191,91,29,20
Madhya Pradesh,2014,Business (Total),1,169,117,62,9,0,43,30,5,4
Madhya Pradesh,2014,Vendor,0,48,20,5,2,0,10,24,1,1
Madhya Pradesh,2014,Tradesmen,0,54,34,18,4,0,5,2,1,1
Madhya Pradesh,2014,Others,1,67,63,39,3,0,28,4,3,2
Madhya Pradesh,2014,Agriculture (Total),0,300,392,211,89,2,124,49,16,15
Madhya Pradesh,2014,Agricultural Labourers,0,93,136,55,20,0,49,7,6,6
Madhya Pradesh,2014,Farmers (Sub Total),0,207,256,156,69,2,75,42,10,9
Madhya Pradesh,2014,Have Own Land,0,196,236,149,67,1,71,41,10,9
Madhya Pradesh,2014,On Contract/Lease,0,11,20,7,2,1,4,1,0,0
Madhya Pradesh,2014,Others,0,68,71,51,9,3,24,12,8,1
Madhya Pradesh,2014,Daily Wage Earner,1,508,383,170,44,1,88,29,19,5
Madhya Pradesh,2014,Retired Persons,0,4,3,0,6,0,2,3,0,0
Madhya Pradesh,2014,Others,51,774,470,249,118,19,339,103,79,25
Madhya Pradesh,2014,Total,86,2439,1665,854,297,59,2273,903,327,136
Maharashtra,2014,Housewife,0,0,0,0,0,5,1454,896,359,207
Maharashtra,2014,Profession/Salaried Persons (Total),0,628,718,335,23,0,85,56,15,6
Maharashtra,2014,Govt. Servants (Total),0,100,155,73,5,0,24,32,6,5
Maharashtra,2014,Central/UT Govt. Servants,0,18,35,9,3,0,10,9,3,4
Maharashtra,2014,State Govt. Servants,0,52,72,42,2,0,9,17,1,0
Maharashtra,2014,Other Statutory Body/etc.,0,30,48,22,0,0,5,6,2,1
Maharashtra,2014,Private Sector Enterprises,0,429,464,204,12,0,45,22,6,1
Maharashtra,2014,Public Sector Undertaking,0,99,99,58,6,0,16,2,3,0
Maharashtra,2014,Students,36,523,10,0,0,57,561,2,1,1
