STATE/UT,Year,CAUSE,Male upto 14 years,Male 15-29 years,Male 30-44 years,Male 45-59 years,Male 60 years and above,Female upto 14 years,Female 15-29 years,Female 30-44 years,Female 45-59 years,Female 60 years and above
TOTAL (STATES),2013,By Machine,1,22,36,16,3,1,5,6,3,0
TOTAL (STATES),2013,By Overdose of sleeping pills,3,82,109,82,29,0,92,68,31,21
TOTAL (STATES),2013,By touching electric wires,30,241,283,175,37,16,60,62,33,11
TOTAL (STATES),2013,By coming under running vehicles/trains,42,1119,1234,1013,439,30,321,244,174,104
TOTAL (STATES),2013,By Other means (please specify),488,2515,3111,2805,1091,287,1485,1650,1001,416
TOTAL (STATES),2013,Total,1518,25949,31396,21418,8198,1316,19096,13283,6598,3058
TOTAL (STATES),2013,Total (Poison),214,7044,8847,6481,2610,284,5462,3963,1951,953
TOTAL (STATES),2013,Total (Jumping),35,253,336,255,80,25,140,94,41,29
TOTAL (UTs),2013,By Over Alcoholism,0,5,5,1,0,0,1,1,0,0
TOTAL (UTs),2013,By Drowning,0,14,22,14,2,0,8,2,1,0
TOTAL (UTs),2013,By Fire/Self Immolation,2,6,12,8,5,1,29,15,5,2
TOTAL (UTs),2013,By Fire-Arms,0,3,8,5,0,0,1,1,0,0
TOTAL (UTs),2013,By Hanging,19,612,540,295,96,22,405,165,35,28
TOTAL (UTs),2013,By Consuming Insecticides,0,26,29,20,3,0,20,9,4,0
TOTAL (UTs),2013,By Consuming Other Poison,1,58,48,33,18,6,57,22,10,2
TOTAL (UTs),2013,By Self Infliction of injury,0,3,0,1,1,0,0,0,0,0
TOTAL (UTs),2013,By Jumping from (Building),1,7,5,5,2,0,3,1,0,1
TOTAL (UTs),2013,By Jumping from (Other sites),0,3,0,2,0,0,0,1,0,0
TOTAL (UTs),2013,By Jumping off Moving Vehicles/Trains,0,0,0,0,0,0,0,0,0,0
TOTAL (UTs),2013,By Machine,0,1,1,1,0,0,4,0,1,1
TOTAL (UTs),2013,By Overdose of sleeping pills,0,0,0,3,2,0,3,1,0,0
TOTAL (UTs),2013,By touching electric wires,1,1,1,1,0,0,0,0,0,0
TOTAL (UTs),2013,By coming under running vehicles/trains,0,3,6,4,2,0,2,0,1,0
TOTAL (UTs),2013,By Other means (please specify),4,25,26,14,28,0,23,6,5,0
TOTAL (UTs),2013,Total,28,767,703,407,159,29,556,224,62,34
TOTAL (UTs),2013,Total (Poison),1,87,77,54,22,6,77,31,14,2
TOTAL (UTs),2013,Total (Jumping),1,10,5,7,2,0,3,2,0,1
ANDHRA PRADESH,2013,By Over Alcoholism,0,38,86,31,21,0,3,1,1,0
ANDHRA PRADESH,2013,By Drowning,12,162,189,91,63,15,171,123,68,34
ANDHRA PRADESH,2013,By Fire/Self Immolation,4,171,182,91,32,6,284,232,78,45
ANDHRA PRADESH,2013,By Fire-Arms,0,7,15,6,2,0,20,11,10,5
ANDHRA PRADESH,2013,By Hanging,12,814,1052,511,168,20,530,336,161,45
ANDHRA PRADESH,2013,By Consuming Insecticides,9,806,970,785,265,11,487,334,216,171
ANDHRA PRADESH,2013,By Consuming Other Poison,9,331,459,301,157,16,217,197,103,61
ANDHRA PRADESH,2013,By Self Infliction of injury,0,34,46,26,7,0,27,27,14,4
ANDHRA PRADESH,2013,By Jumping from (Building),0,19,32,15,1,0,7,3,3,1
ANDHRA PRADESH,2013,By Jumping from (Other sites),0,4,12,6,1,0,0,1,0,1
ANDHRA PRADESH,2013,By Jumping off Moving Vehicles/Trains,0,4,4,8,0,0,4,2,0,0
ANDHRA PRADESH,2013,By Machine,0,2,4,1,0,0,0,1,0,0
ANDHRA PRADESH,2013,By Overdose of sleeping pills,2,20,15,11,5,0,24,15,5,7
ANDHRA PRADESH,2013,By touching electric wires,1,18,14,10,2,0,2,6,3,1
ANDHRA PRADESH,2013,By coming under running vehicles/trains,9,250,347,302,107,1,51,28,25,17
ANDHRA PRADESH,2013,By Other means (please specify),10,167,221,244,69,12,96,183,87,35
ANDHRA PRADESH,2013,Total,68,2847,3648,2439,900,81,1923,1500,774,427
ANDHRA PRADESH,2013,Total (Poison),18,1171,1475,1112,429,27,731,558,333,236
ANDHRA PRADESH,2013,Total (Jumping),0,23,44,21,2,0,7,4,3,2
ARUNACHAL PRADESH,2013,By Over Alcoholism,0,0,5,4,1,0,0,0,0,0
ARUNACHAL PRADESH,2013,By Drowning,0,4,3,1,1,0,2,1,0,1
ARUNACHAL PRADESH,2013,By Fire/Self Immolation,0,0,0,0,0,0,1,0,0,0
ARUNACHAL PRADESH,2013,By Fire-Arms,0,1,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2013,By Hanging,3,35,34,18,4,3,24,16,2,0
ARUNACHAL PRADESH,2013,By Consuming Insecticides,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2013,By Consuming Other Poison,0,2,4,0,0,0,0,1,0,0
ARUNACHAL PRADESH,2013,By Self Infliction of injury,0,0,1,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2013,By Jumping from (Building),0,1,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2013,By Jumping from (Other sites),0,0,1,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2013,By Jumping off Moving Vehicles/Trains,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2013,By Machine,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2013,By Overdose of sleeping pills,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2013,By touching electric wires,0,1,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2013,By coming under running vehicles/trains,0,0,0,1,0,0,0,0,0,0
ARUNACHAL PRADESH,2013,By Other means (please specify),4,12,17,9,4,1,4,1,1,0
ARUNACHAL PRADESH,2013,Total,7,56,65,33,10,4,31,19,3,1
ARUNACHAL PRADESH,2013,Total (Poison),0,2,5,0,0,0,0,1,0,0
ARUNACHAL PRADESH,2013,Total (Jumping),0,1,1,0,0,0,0,0,0,0
ASSAM,2013,By Over Alcoholism,0,0,2,0,0,0,0,0,0,0
ASSAM,2013,By Drowning,0,124,144,65,3,3,49,35,15,0
ASSAM,2013,By Fire/Self Immolation,0,2,2,1,1,0,15,30,5,0
ASSAM,2013,By Fire-Arms,0,0,1,1,0,0,0,0,0,0
ASSAM,2013,By Hanging,8,505,686,394,16,3,268,247,126,6
ASSAM,2013,By Consuming Insecticides,0,0,0,0,0,0,0,2,1,0
ASSAM,2013,By Consuming Other Poison,1,67,88,39,2,0,41,40,20,1
ASSAM,2013,By Self Infliction of injury,0,3,2,3,0,0,0,0,0,0
ASSAM,2013,By Jumping from (Building),0,3,1,1,0,0,1,0,1,0
ASSAM,2013,By Jumping from (Other sites),0,7,2,3,0,0,1,2,0,0
ASSAM,2013,By Jumping off Moving Vehicles/Trains,0,16,22,9,0,0,2,2,0,0
ASSAM,2013,By Machine,0,0,3,0,0,0,0,0,0,0
ASSAM,2013,By Overdose of sleeping pills,0,0,3,0,0,0,0,0,0,0
ASSAM,2013,By touching electric wires,0,12,27,13,0,0,0,1,0,0
ASSAM,2013,By coming under running vehicles/trains,0,22,22,9,2,0,7,3,0,2
ASSAM,2013,By Other means (please specify),2,62,85,66,6,1,15,31,15,4
ASSAM,2013,Total,11,823,1090,604,30,7,399,393,183,13
ASSAM,2013,Total (Poison),1,70,90,42,2,0,41,42,21,1
ASSAM,2013,Total (Jumping),0,10,3,4,0,0,2,2,1,0
BIHAR,2013,By Over Alcoholism,0,2,14,8,2,0,0,0,0,0
BIHAR,2013,By Drowning,8,37,38,12,4,20,15,6,4,0
BIHAR,2013,By Fire/Self Immolation,2,10,13,7,1,3,40,20,6,0
BIHAR,2013,By Fire-Arms,0,4,6,2,0,0,4,2,1,0
BIHAR,2013,By Hanging,2,38,39,13,2,2,39,21,4,0
BIHAR,2013,By Consuming Insecticides,2,23,17,17,4,3,35,16,1,0
BIHAR,2013,By Consuming Other Poison,0,11,22,16,1,7,10,10,0,1
BIHAR,2013,By Self Infliction of injury,0,0,0,1,1,0,0,0,0,0
BIHAR,2013,By Jumping from (Building),0,0,0,0,0,2,3,1,0,0
BIHAR,2013,By Jumping from (Other sites),0,3,3,6,0,2,5,3,1,0
BIHAR,2013,By Jumping off Moving Vehicles/Trains,0,0,2,0,0,0,0,0,0,0
BIHAR,2013,By Machine,0,2,1,0,0,0,0,0,0,0
BIHAR,2013,By Overdose of sleeping pills,0,2,3,1,2,0,2,2,0,0
BIHAR,2013,By touching electric wires,0,12,12,7,0,4,4,3,1,0
BIHAR,2013,By coming under running vehicles/trains,0,1,0,0,0,0,0,0,0,0
BIHAR,2013,By Other means (please specify),12,31,83,36,32,4,24,76,14,6
BIHAR,2013,Total,26,176,253,126,49,47,181,160,32,7
BIHAR,2013,Total (Poison),2,34,39,34,6,10,45,26,1,1
BIHAR,2013,Total (Jumping),0,3,3,6,0,4,8,4,1,0
CHHATTISGARH,2013,By Over Alcoholism,0,9,13,9,2,0,3,1,5,0
CHHATTISGARH,2013,By Drowning,7,23,29,9,3,12,6,4,2,3
CHHATTISGARH,2013,By Fire/Self Immolation,4,43,49,18,9,10,168,88,23,22
CHHATTISGARH,2013,By Fire-Arms,0,0,4,0,0,0,0,0,0,0
CHHATTISGARH,2013,By Hanging,36,714,659,399,158,29,346,162,81,31
CHHATTISGARH,2013,By Consuming Insecticides,5,169,162,94,34,16,139,61,50,27
CHHATTISGARH,2013,By Consuming Other Poison,2,152,139,58,39,10,94,67,27,9
CHHATTISGARH,2013,By Self Infliction of injury,0,1,0,0,0,0,0,0,0,0
CHHATTISGARH,2013,By Jumping from (Building),0,2,2,2,1,0,0,1,0,0
CHHATTISGARH,2013,By Jumping from (Other sites),0,1,1,1,1,0,1,0,0,0
CHHATTISGARH,2013,By Jumping off Moving Vehicles/Trains,0,2,0,0,0,0,0,0,0,0
CHHATTISGARH,2013,By Machine,0,1,0,0,0,0,1,0,1,0
CHHATTISGARH,2013,By Overdose of sleeping pills,0,0,0,0,1,0,0,0,0,0
CHHATTISGARH,2013,By touching electric wires,1,3,4,0,0,0,0,1,1,0
CHHATTISGARH,2013,By coming under running vehicles/trains,2,50,46,23,1,3,13,8,5,1
CHHATTISGARH,2013,By Other means (please specify),25,131,169,84,42,12,94,66,55,29
CHHATTISGARH,2013,Total,82,1301,1277,697,291,92,865,459,250,122
CHHATTISGARH,2013,Total (Poison),7,322,301,152,73,26,233,128,77,36
CHHATTISGARH,2013,Total (Jumping),0,3,3,3,2,0,1,1,0,0
GOA,2013,By Over Alcoholism,0,0,0,0,0,0,0,0,0,0
GOA,2013,By Drowning,0,9,10,8,4,2,3,7,1,3
GOA,2013,By Fire/Self Immolation,0,0,1,1,2,0,2,2,2,1
GOA,2013,By Fire-Arms,0,0,0,0,0,0,0,1,0,0
GOA,2013,By Hanging,0,57,53,27,7,2,33,18,3,3
GOA,2013,By Consuming Insecticides,0,5,3,2,1,0,4,1,0,0
GOA,2013,By Consuming Other Poison,0,5,7,6,2,0,1,1,1,0
GOA,2013,By Self Infliction of injury,0,0,0,0,0,0,0,0,0,0
GOA,2013,By Jumping from (Building),0,0,1,1,0,0,0,0,0,0
GOA,2013,By Jumping from (Other sites),0,2,1,0,0,1,3,0,0,0
GOA,2013,By Jumping off Moving Vehicles/Trains,0,0,0,0,0,0,0,0,0,0
GOA,2013,By Machine,0,0,0,0,0,0,0,0,0,0
GOA,2013,By Overdose of sleeping pills,0,0,0,0,1,0,0,0,0,0
GOA,2013,By touching electric wires,0,0,0,0,0,0,0,0,0,0
GOA,2013,By coming under running vehicles/trains,0,3,2,0,0,0,0,0,0,0
GOA,2013,By Other means (please specify),0,1,2,3,3,0,0,2,0,1
GOA,2013,Total,0,82,80,48,20,5,46,32,7,8
GOA,2013,Total (Poison),0,10,10,8,3,0,5,2,1,0
GOA,2013,Total (Jumping),0,2,2,1,0,1,3,0,0,0
GUJARAT,2013,By Over Alcoholism,0,0,6,0,0,0,1,0,0,0
GUJARAT,2013,By Drowning,14,109,127,68,18,1,55,49,15,11
GUJARAT,2013,By Fire/Self Immolation,4,89,134,72,30,7,213,171,88,69
GUJARAT,2013,By Fire-Arms,0,1,4,3,0,0,2,0,0,0
GUJARAT,2013,By Hanging,10,619,552,305,96,12,444,187,99,38
GUJARAT,2013,By Consuming Insecticides,3,394,454,273,106,10,334,208,116,41
GUJARAT,2013,By Consuming Other Poison,1,132,145,103,24,4,113,75,39,19
GUJARAT,2013,By Self Infliction of injury,0,5,8,8,2,1,5,2,0,1
GUJARAT,2013,By Jumping from (Building),1,11,14,11,4,0,2,5,1,2
GUJARAT,2013,By Jumping from (Other sites),1,12,39,15,4,0,13,13,0,3
GUJARAT,2013,By Jumping off Moving Vehicles/Trains,0,9,7,8,0,0,5,2,1,1
GUJARAT,2013,By Machine,0,0,1,1,0,0,0,0,0,0
GUJARAT,2013,By Overdose of sleeping pills,0,5,6,4,1,0,3,2,0,0
GUJARAT,2013,By touching electric wires,0,2,7,2,0,1,3,2,0,0
GUJARAT,2013,By coming under running vehicles/trains,6,76,108,75,23,3,24,13,15,0
GUJARAT,2013,By Other means (please specify),5,31,51,59,14,1,40,27,15,7
GUJARAT,2013,Total,45,1495,1663,1007,322,40,1257,756,389,192
GUJARAT,2013,Total (Poison),4,531,607,384,132,15,452,285,155,61
GUJARAT,2013,Total (Jumping),2,23,53,26,8,0,15,18,1,5
HARYANA,2013,By Over Alcoholism,0,16,29,20,3,0,0,0,0,0
HARYANA,2013,By Drowning,16,64,71,43,11,6,18,11,2,3
HARYANA,2013,By Fire/Self Immolation,3,29,20,16,2,3,48,37,12,3
HARYANA,2013,By Fire-Arms,0,2,1,3,0,0,0,0,0,0
HARYANA,2013,By Hanging,6,239,187,84,8,4,127,52,21,8
HARYANA,2013,By Consuming Insecticides,4,90,147,89,16,1,84,45,20,1
HARYANA,2013,By Consuming Other Poison,1,109,94,35,12,2,61,32,15,3
HARYANA,2013,By Self Infliction of injury,0,2,1,0,0,0,0,0,0,0
HARYANA,2013,By Jumping from (Building),0,4,8,3,0,1,1,1,0,0
HARYANA,2013,By Jumping from (Other sites),0,7,11,8,1,0,2,1,0,1
HARYANA,2013,By Jumping off Moving Vehicles/Trains,0,0,0,0,0,0,0,0,0,0
HARYANA,2013,By Machine,0,2,4,2,1,0,0,1,0,0
HARYANA,2013,By Overdose of sleeping pills,0,1,1,0,0,0,0,0,0,0
HARYANA,2013,By touching electric wires,2,41,31,19,2,1,2,2,1,0
HARYANA,2013,By coming under running vehicles/trains,10,60,137,145,63,8,25,17,13,10
HARYANA,2013,By Other means (please specify),16,105,129,160,56,17,43,19,17,12
HARYANA,2013,Total,58,771,871,627,175,43,411,218,101,41
HARYANA,2013,Total (Poison),5,201,242,124,28,3,145,77,35,4
HARYANA,2013,Total (Jumping),0,11,19,11,1,1,3,2,0,1
HIMACHAL PRADESH,2013,By Over Alcoholism,0,1,4,6,2,0,0,1,0,0
HIMACHAL PRADESH,2013,By Drowning,0,6,4,1,0,0,5,4,1,1
HIMACHAL PRADESH,2013,By Fire/Self Immolation,0,0,2,1,0,0,4,4,2,0
HIMACHAL PRADESH,2013,By Fire-Arms,0,1,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,2013,By Hanging,2,56,52,18,5,0,27,14,5,0
HIMACHAL PRADESH,2013,By Consuming Insecticides,0,24,26,25,6,3,16,15,11,6
HIMACHAL PRADESH,2013,By Consuming Other Poison,1,46,25,14,8,1,33,11,10,3
HIMACHAL PRADESH,2013,By Self Infliction of injury,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,2013,By Jumping from (Building),0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,2013,By Jumping from (Other sites),1,1,1,1,0,0,0,1,0,0
HIMACHAL PRADESH,2013,By Jumping off Moving Vehicles/Trains,0,2,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,2013,By Machine,0,0,2,0,0,0,2,0,0,0
HIMACHAL PRADESH,2013,By Overdose of sleeping pills,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,2013,By touching electric wires,0,1,2,0,0,0,0,0,0,0
HIMACHAL PRADESH,2013,By coming under running vehicles/trains,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,2013,By Other means (please specify),1,4,4,5,3,2,3,3,2,0
HIMACHAL PRADESH,2013,Total,5,142,122,71,24,6,90,53,31,10
HIMACHAL PRADESH,2013,Total (Poison),1,70,51,39,14,4,49,26,21,9
HIMACHAL PRADESH,2013,Total (Jumping),1,1,1,1,0,0,0,1,0,0
JAMMU & KASHMIR,2013,By Over Alcoholism,0,1,2,2,2,0,0,0,0,0
JAMMU & KASHMIR,2013,By Drowning,0,2,0,0,1,0,0,5,0,1
JAMMU & KASHMIR,2013,By Fire/Self Immolation,0,2,4,0,0,0,6,4,1,0
JAMMU & KASHMIR,2013,By Fire-Arms,0,3,3,0,0,0,0,0,0,0
JAMMU & KASHMIR,2013,By Hanging,0,11,23,12,5,0,8,9,1,0
JAMMU & KASHMIR,2013,By Consuming Insecticides,0,9,6,5,0,0,11,15,1,2
JAMMU & KASHMIR,2013,By Consuming Other Poison,1,5,20,15,5,2,32,18,5,2
JAMMU & KASHMIR,2013,By Self Infliction of injury,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,2013,By Jumping from (Building),0,0,1,2,3,0,0,0,0,0
JAMMU & KASHMIR,2013,By Jumping from (Other sites),0,1,1,3,0,0,0,1,0,0
JAMMU & KASHMIR,2013,By Jumping off Moving Vehicles/Trains,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,2013,By Machine,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,2013,By Overdose of sleeping pills,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,2013,By touching electric wires,0,0,0,1,0,0,0,0,1,0
JAMMU & KASHMIR,2013,By coming under running vehicles/trains,0,1,0,3,0,0,0,0,0,0
JAMMU & KASHMIR,2013,By Other means (please specify),0,3,9,1,0,1,8,0,0,0
JAMMU & KASHMIR,2013,Total,1,38,69,44,16,3,65,52,9,5
JAMMU & KASHMIR,2013,Total (Poison),1,14,26,20,5,2,43,33,6,4
JAMMU & KASHMIR,2013,Total (Jumping),0,1,2,5,3,0,0,1,0,0
JHARKHAND,2013,By Over Alcoholism,0,7,13,19,10,0,3,0,3,0
JHARKHAND,2013,By Drowning,3,18,17,6,2,1,10,3,1,0
JHARKHAND,2013,By Fire/Self Immolation,2,7,9,9,0,0,17,17,6,1
JHARKHAND,2013,By Fire-Arms,0,1,1,0,1,0,0,1,0,1
JHARKHAND,2013,By Hanging,0,84,100,41,2,3,62,40,16,3
JHARKHAND,2013,By Consuming Insecticides,1,46,26,21,5,2,33,22,21,3
JHARKHAND,2013,By Consuming Other Poison,0,25,12,5,3,0,12,8,1,0
JHARKHAND,2013,By Self Infliction of injury,0,1,0,0,0,0,2,2,0,0
JHARKHAND,2013,By Jumping from (Building),0,5,0,0,0,0,3,3,0,0
JHARKHAND,2013,By Jumping from (Other sites),0,15,7,5,2,0,5,1,1,0
JHARKHAND,2013,By Jumping off Moving Vehicles/Trains,1,5,3,2,0,0,3,3,0,0
JHARKHAND,2013,By Machine,0,1,1,2,2,1,1,0,0,0
JHARKHAND,2013,By Overdose of sleeping pills,0,6,7,9,1,0,5,3,3,1
JHARKHAND,2013,By touching electric wires,2,10,7,2,4,0,3,1,2,0
JHARKHAND,2013,By coming under running vehicles/trains,0,8,2,1,2,0,2,0,1,1
JHARKHAND,2013,By Other means (please specify),41,79,90,127,38,15,45,47,25,7
JHARKHAND,2013,Total,50,318,295,249,72,22,206,151,80,17
JHARKHAND,2013,Total (Poison),1,72,38,26,8,2,47,32,22,3
JHARKHAND,2013,Total (Jumping),0,20,7,5,2,0,8,4,1,0
KARNATAKA,2013,By Over Alcoholism,0,15,53,20,10,0,2,2,0,0
KARNATAKA,2013,By Drowning,9,134,170,150,27,11,101,67,52,33
KARNATAKA,2013,By Fire/Self Immolation,10,57,67,48,11,7,144,103,50,17
KARNATAKA,2013,By Fire-Arms,0,2,4,1,0,0,3,0,0,1
KARNATAKA,2013,By Hanging,35,907,1250,678,220,33,630,379,218,68
KARNATAKA,2013,By Consuming Insecticides,1,89,194,118,55,0,78,84,20,21
KARNATAKA,2013,By Consuming Other Poison,16,462,715,446,174,29,333,258,87,48
KARNATAKA,2013,By Self Infliction of injury,0,0,1,0,0,0,2,0,1,1
KARNATAKA,2013,By Jumping from (Building),0,1,3,0,1,0,1,0,1,0
KARNATAKA,2013,By Jumping from (Other sites),0,4,5,0,0,0,2,2,0,0
KARNATAKA,2013,By Jumping off Moving Vehicles/Trains,0,6,10,3,0,0,0,0,0,0
KARNATAKA,2013,By Machine,0,0,1,0,0,0,0,0,0,0
KARNATAKA,2013,By Overdose of sleeping pills,0,0,3,1,0,0,4,2,2,0
KARNATAKA,2013,By touching electric wires,0,4,15,0,0,0,0,0,3,0
KARNATAKA,2013,By coming under running vehicles/trains,0,107,90,90,89,0,54,49,36,41
KARNATAKA,2013,By Other means (please specify),41,411,234,352,113,33,117,147,105,51
KARNATAKA,2013,Total,112,2199,2815,1907,700,113,1471,1093,575,281
KARNATAKA,2013,Total (Poison),17,551,910,564,229,29,413,342,108,70
KARNATAKA,2013,Total (Jumping),0,5,8,0,1,0,3,2,1,0
KERALA,2013,By Over Alcoholism,0,9,19,32,28,0,0,0,0,0
KERALA,2013,By Drowning,2,48,64,68,75,3,30,39,53,66
KERALA,2013,By Fire/Self Immolation,0,13,27,27,12,2,69,54,50,56
KERALA,2013,By Fire-Arms,0,1,2,1,1,0,3,1,3,1
KERALA,2013,By Hanging,28,823,1519,1571,848,28,333,263,220,202
KERALA,2013,By Consuming Insecticides,0,55,119,167,99,7,34,38,39,30
KERALA,2013,By Consuming Other Poison,7,115,235,241,169,3,35,72,76,52
KERALA,2013,By Self Infliction of injury,0,5,6,4,6,0,1,0,1,4
KERALA,2013,By Jumping from (Building),0,2,5,4,2,0,2,0,2,1
KERALA,2013,By Jumping from (Other sites),1,2,1,2,1,0,0,3,1,1
KERALA,2013,By Jumping off Moving Vehicles/Trains,0,8,15,3,5,0,0,2,1,0
KERALA,2013,By Machine,0,0,0,1,0,0,0,0,0,0
KERALA,2013,By Overdose of sleeping pills,0,5,16,13,1,0,7,8,7,4
KERALA,2013,By touching electric wires,0,0,1,4,1,0,0,0,0,2
KERALA,2013,By coming under running vehicles/trains,0,38,42,52,24,0,8,10,8,3
KERALA,2013,By Other means (please specify),0,0,2,2,2,0,2,1,2,2
KERALA,2013,Total,38,1124,2073,2192,1274,43,524,491,463,424
KERALA,2013,Total (Poison),7,175,360,412,274,10,70,110,116,86
KERALA,2013,Total (Jumping),1,4,6,6,3,0,2,3,3,2
MADHYA PRADESH,2013,By Over Alcoholism,0,21,69,51,17,0,1,1,2,3
MADHYA PRADESH,2013,By Drowning,59,99,103,51,22,26,121,58,18,11
MADHYA PRADESH,2013,By Fire/Self Immolation,5,88,126,38,22,33,444,229,63,28
MADHYA PRADESH,2013,By Fire-Arms,2,15,22,9,3,2,9,1,0,0
MADHYA PRADESH,2013,By Hanging,56,1131,905,528,225,47,811,349,136,50
MADHYA PRADESH,2013,By Consuming Insecticides,14,417,310,176,100,22,416,240,92,45
MADHYA PRADESH,2013,By Consuming Other Poison,9,150,173,94,50,5,167,93,38,21
MADHYA PRADESH,2013,By Self Infliction of injury,0,4,6,3,4,1,5,1,2,1
MADHYA PRADESH,2013,By Jumping from (Building),3,4,8,4,6,0,3,1,0,0
MADHYA PRADESH,2013,By Jumping from (Other sites),7,9,3,20,2,8,15,1,0,0
MADHYA PRADESH,2013,By Jumping off Moving Vehicles/Trains,0,15,12,6,0,0,3,1,3,0
MADHYA PRADESH,2013,By Machine,1,0,0,0,0,0,0,0,0,0
MADHYA PRADESH,2013,By Overdose of sleeping pills,0,5,7,9,3,0,4,3,3,0
MADHYA PRADESH,2013,By touching electric wires,13,17,18,13,10,4,2,5,3,2
MADHYA PRADESH,2013,By coming under running vehicles/trains,4,47,24,24,8,3,18,5,6,1
MADHYA PRADESH,2013,By Other means (please specify),18,41,48,56,28,7,29,23,15,16
MADHYA PRADESH,2013,Total,191,2063,1834,1082,500,158,2048,1011,381,178
MADHYA PRADESH,2013,Total (Poison),23,571,489,273,154,28,588,334,132,67
MADHYA PRADESH,2013,Total (Jumping),10,13,11,24,8,8,18,2,0,0
MAHARASHTRA,2013,By Over Alcoholism,0,48,87,52,16,0,0,0,1,0
MAHARASHTRA,2013,By Drowning,9,190,270,152,88,8,216,133,82,71
MAHARASHTRA,2013,By Fire/Self Immolation,1,150,267,155,69,7,437,304,115,81
