,State,Year,Gender,Education,Total,Population
100,A & N Islands,2010,Male,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),11,3171.0
101,A & N Islands,2010,Male,Matriculate/Secondary (Upto Class-10),31,5889.0
102,A & N Islands,2010,Male,Middle (Upto Class-8),29,8433.0
103,A & N Islands,2010,Male,No Education,17,5657.0
104,A & N Islands,2010,Male,Primary (Upto Class-5),24,23227.0
105,A & N Islands,2011,Female,Diploma/Certificate,1,28.0
106,A & N Islands,2011,Female,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),9,3241.0
107,A & N Islands,2011,Female,Matriculate/Secondary (Upto Class-10),12,5808.0
108,A & N Islands,2011,Female,Middle (Upto Class-8),9,7365.0
109,A & N Islands,2011,Female,No Education,1,5915.0
110,A & N Islands,2011,Female,Primary (Upto Class-5),10,21304.0
111,A & N Islands,2011,Male,Diploma/Certificate,2,39.0
112,A & N Islands,2011,Male,Graduate And Above,1,1969.0
113,A & N Islands,2011,Male,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),16,3318.0
114,A & N Islands,2011,Male,Matriculate/Secondary (Upto Class-10),19,6107.0
115,A & N Islands,2011,Male,Middle (Upto Class-8),25,8537.0
116,A & N Islands,2011,Male,No Education,3,5704.0
117,A & N Islands,2011,Male,Primary (Upto Class-5),27,22785.0
118,A & N Islands,2012,Female,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),2,3409.0
119,A & N Islands,2012,Female,Matriculate/Secondary (Upto Class-10),13,6027.0
120,A & N Islands,2012,Female,Middle (Upto Class-8),22,7418.0
121,A & N Islands,2012,Female,Primary (Upto Class-5),4,20986.0
122,A & N Islands,2012,Male,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),1,3471.0
123,A & N Islands,2012,Male,Matriculate/Secondary (Upto Class-10),21,6325.0
124,A & N Islands,2012,Male,Middle (Upto Class-8),42,8650.0
125,A & N Islands,2012,Male,Primary (Upto Class-5),16,22354.0
126,A & N Islands,2013,Female,Graduate And Above,3,2079.0
127,A & N Islands,2013,Female,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),7,3577.0
128,A & N Islands,2013,Female,Matriculate/Secondary (Upto Class-10),12,6246.0
129,A & N Islands,2013,Female,Middle (Upto Class-8),12,7471.0
130,A & N Islands,2013,Female,Primary (Upto Class-5),6,20668.0
131,A & N Islands,2013,Male,Graduate And Above,1,2229.0
132,A & N Islands,2013,Male,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),15,3624.0
133,A & N Islands,2013,Male,Matriculate/Secondary (Upto Class-10),26,6543.0
134,A & N Islands,2013,Male,Middle (Upto Class-8),46,8763.0
135,A & N Islands,2013,Male,Primary (Upto Class-5),23,21923.0
136,A & N Islands,2014,Female,Graduate And Above,4,2206.0
137,A & N Islands,2014,Female,Matriculate/Secondary (Upto Class-10),5,6465.0
138,A & N Islands,2014,Female,Middle (Upto Class-8),15,7524.0
139,A & N Islands,2014,Female,Primary (Upto Class-5),16,20350.0
140,A & N Islands,2014,Male,Middle (Upto Class-8),91,8876.0
141,A & N Islands,2014,Male,Primary (Upto Class-5),24,21492.0
142,Andhra Pradesh,2001,Female,Diploma/Certificate,23,2355.0
143,Andhra Pradesh,2001,Female,Graduate And Above,42,112344.0
144,Andhra Pradesh,2001,Female,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),168,342632.0
145,Andhra Pradesh,2001,Female,Matriculate/Secondary (Upto Class-10),449,567703.0
146,Andhra Pradesh,2001,Female,Middle (Upto Class-8),722,800617.0
147,Andhra Pradesh,2001,Female,No Education,1657,1386969.0
148,Andhra Pradesh,2001,Female,Primary (Upto Class-5),1076,4535448.0
149,Andhra Pradesh,2001,Male,Diploma/Certificate,75,7681.0
150,Andhra Pradesh,2001,Male,Graduate And Above,104,311122.0
151,Andhra Pradesh,2001,Male,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),427,620781.0
152,Andhra Pradesh,2001,Male,Matriculate/Secondary (Upto Class-10),818,873646.0
153,Andhra Pradesh,2001,Male,Middle (Upto Class-8),1281,1106130.0
154,Andhra Pradesh,2001,Male,No Education,2117,1332032.0
155,Andhra Pradesh,2001,Male,Primary (Upto Class-5),1536,5303842.0
156,Andhra Pradesh,2002,Female,Diploma/Certificate,19,2777.0
157,Andhra Pradesh,2002,Female,Graduate And Above,25,148405.0
158,Andhra Pradesh,2002,Female,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),170,401232.0
159,Andhra Pradesh,2002,Female,Matriculate/Secondary (Upto Class-10),443,630036.0
160,Andhra Pradesh,2002,Female,Middle (Upto Class-8),832,857693.0
161,Andhra Pradesh,2002,Female,No Education,1700,1387074.0
162,Andhra Pradesh,2002,Female,Primary (Upto Class-5),929,4521330.0
163,Andhra Pradesh,2002,Male,Diploma/Certificate,28,9062.0
164,Andhra Pradesh,2002,Male,Graduate And Above,100,369288.0
165,Andhra Pradesh,2002,Male,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),496,693106.0
166,Andhra Pradesh,2002,Male,Matriculate/Secondary (Upto Class-10),965,925457.0
167,Andhra Pradesh,2002,Male,Middle (Upto Class-8),1731,1145333.0
168,Andhra Pradesh,2002,Male,No Education,2505,1338238.0
169,Andhra Pradesh,2002,Male,Primary (Upto Class-5),1723,5252927.0
170,Andhra Pradesh,2003,Female,Diploma/Certificate,11,3199.0
171,Andhra Pradesh,2003,Female,Graduate And Above,53,184466.0
172,Andhra Pradesh,2003,Female,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),197,459832.0
173,Andhra Pradesh,2003,Female,Matriculate/Secondary (Upto Class-10),353,692369.0
174,Andhra Pradesh,2003,Female,Middle (Upto Class-8),838,914769.0
175,Andhra Pradesh,2003,Female,No Education,1505,1387179.0
176,Andhra Pradesh,2003,Female,Primary (Upto Class-5),930,4507212.0
177,Andhra Pradesh,2003,Male,Diploma/Certificate,62,10443.0
178,Andhra Pradesh,2003,Male,Graduate And Above,101,427454.0
179,Andhra Pradesh,2003,Male,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),406,765431.0
180,Andhra Pradesh,2003,Male,Matriculate/Secondary (Upto Class-10),809,977268.0
181,Andhra Pradesh,2003,Male,Middle (Upto Class-8),1528,1184536.0
182,Andhra Pradesh,2003,Male,No Education,2738,1344444.0
183,Andhra Pradesh,2003,Male,Primary (Upto Class-5),1845,5202012.0
184,Andhra Pradesh,2004,Female,Diploma/Certificate,15,3621.0
185,Andhra Pradesh,2004,Female,Graduate And Above,40,220527.0
186,Andhra Pradesh,2004,Female,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),222,518432.0
187,Andhra Pradesh,2004,Female,Matriculate/Secondary (Upto Class-10),417,754702.0
188,Andhra Pradesh,2004,Female,Middle (Upto Class-8),906,971845.0
189,Andhra Pradesh,2004,Female,No Education,1843,1387284.0
190,Andhra Pradesh,2004,Female,Primary (Upto Class-5),995,4493094.0
191,Andhra Pradesh,2004,Male,Diploma/Certificate,68,11824.0
192,Andhra Pradesh,2004,Male,Graduate And Above,135,485620.0
193,Andhra Pradesh,2004,Male,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),511,837756.0
194,Andhra Pradesh,2004,Male,Matriculate/Secondary (Upto Class-10),1157,1029079.0
195,Andhra Pradesh,2004,Male,Middle (Upto Class-8),2203,1223739.0
196,Andhra Pradesh,2004,Male,No Education,2937,1350650.0
197,Andhra Pradesh,2004,Male,Primary (Upto Class-5),2057,5151097.0
198,Andhra Pradesh,2005,Female,Diploma/Certificate,16,4043.0
199,Andhra Pradesh,2005,Female,Graduate And Above,34,256588.0
200,Andhra Pradesh,2005,Female,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),298,577032.0
201,Andhra Pradesh,2005,Female,Matriculate/Secondary (Upto Class-10),438,817035.0
202,Andhra Pradesh,2005,Female,Middle (Upto Class-8),1026,1028921.0
203,Andhra Pradesh,2005,Female,No Education,1685,1387389.0
204,Andhra Pradesh,2005,Female,Primary (Upto Class-5),1074,4478976.0
205,Andhra Pradesh,2005,Male,Diploma/Certificate,36,13205.0
206,Andhra Pradesh,2005,Male,Graduate And Above,111,543786.0
207,Andhra Pradesh,2005,Male,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),557,910081.0
208,Andhra Pradesh,2005,Male,Matriculate/Secondary (Upto Class-10),796,1080890.0
209,Andhra Pradesh,2005,Male,Middle (Upto Class-8),2247,1262942.0
210,Andhra Pradesh,2005,Male,No Education,2761,1356856.0
211,Andhra Pradesh,2005,Male,Primary (Upto Class-5),2340,5100182.0
212,Andhra Pradesh,2006,Female,Diploma/Certificate,21,4465.0
213,Andhra Pradesh,2006,Female,Graduate And Above,36,292649.0
214,Andhra Pradesh,2006,Female,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),232,635632.0
215,Andhra Pradesh,2006,Female,Matriculate/Secondary (Upto Class-10),455,879368.0
216,Andhra Pradesh,2006,Female,Middle (Upto Class-8),949,1085997.0
217,Andhra Pradesh,2006,Female,No Education,1788,1387494.0
218,Andhra Pradesh,2006,Female,Primary (Upto Class-5),922,4464858.0
219,Andhra Pradesh,2006,Male,Diploma/Certificate,77,14586.0
220,Andhra Pradesh,2006,Male,Graduate And Above,120,601952.0
221,Andhra Pradesh,2006,Male,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),563,982406.0
222,Andhra Pradesh,2006,Male,Matriculate/Secondary (Upto Class-10),1096,1132701.0
223,Andhra Pradesh,2006,Male,Middle (Upto Class-8),2180,1302145.0
224,Andhra Pradesh,2006,Male,No Education,2913,1363062.0
225,Andhra Pradesh,2006,Male,Primary (Upto Class-5),1899,5049267.0
226,Andhra Pradesh,2007,Female,Diploma/Certificate,14,4887.0
227,Andhra Pradesh,2007,Female,Graduate And Above,43,328710.0
228,Andhra Pradesh,2007,Female,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),237,694232.0
229,Andhra Pradesh,2007,Female,Matriculate/Secondary (Upto Class-10),466,941701.0
230,Andhra Pradesh,2007,Female,Middle (Upto Class-8),1127,1143073.0
231,Andhra Pradesh,2007,Female,No Education,1922,1387599.0
232,Andhra Pradesh,2007,Female,Primary (Upto Class-5),1112,4450740.0
233,Andhra Pradesh,2007,Male,Diploma/Certificate,81,15967.0
234,Andhra Pradesh,2007,Male,Graduate And Above,114,660118.0
235,Andhra Pradesh,2007,Male,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),661,1054731.0
236,Andhra Pradesh,2007,Male,Matriculate/Secondary (Upto Class-10),1195,1184512.0
237,Andhra Pradesh,2007,Male,Middle (Upto Class-8),2336,1341348.0
238,Andhra Pradesh,2007,Male,No Education,3183,1369268.0
239,Andhra Pradesh,2007,Male,Primary (Upto Class-5),2339,4998352.0
240,Andhra Pradesh,2008,Female,Diploma/Certificate,18,5309.0
241,Andhra Pradesh,2008,Female,Graduate And Above,62,364771.0
242,Andhra Pradesh,2008,Female,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),276,752832.0
243,Andhra Pradesh,2008,Female,Matriculate/Secondary (Upto Class-10),596,1004034.0
244,Andhra Pradesh,2008,Female,Middle (Upto Class-8),875,1200149.0
245,Andhra Pradesh,2008,Female,No Education,1687,1387704.0
246,Andhra Pradesh,2008,Female,Primary (Upto Class-5),1104,4436622.0
247,Andhra Pradesh,2008,Male,Diploma/Certificate,94,17348.0
248,Andhra Pradesh,2008,Male,Graduate And Above,235,718284.0
249,Andhra Pradesh,2008,Male,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),965,1127056.0
250,Andhra Pradesh,2008,Male,Matriculate/Secondary (Upto Class-10),1396,1236323.0
251,Andhra Pradesh,2008,Male,Middle (Upto Class-8),1869,1380551.0
252,Andhra Pradesh,2008,Male,No Education,2999,1375474.0
253,Andhra Pradesh,2008,Male,Primary (Upto Class-5),2094,4947437.0
254,Andhra Pradesh,2009,Female,Diploma/Certificate,35,5731.0
255,Andhra Pradesh,2009,Female,Graduate And Above,84,400832.0
256,Andhra Pradesh,2009,Female,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),277,811432.0
257,Andhra Pradesh,2009,Female,Matriculate/Secondary (Upto Class-10),669,1066367.0
258,Andhra Pradesh,2009,Female,Middle (Upto Class-8),900,1257225.0
259,Andhra Pradesh,2009,Female,No Education,1659,1387809.0
260,Andhra Pradesh,2009,Female,Primary (Upto Class-5),967,4422504.0
261,Andhra Pradesh,2009,Male,Diploma/Certificate,124,18729.0
262,Andhra Pradesh,2009,Male,Graduate And Above,257,776450.0
263,Andhra Pradesh,2009,Male,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),755,1199381.0
264,Andhra Pradesh,2009,Male,Matriculate/Secondary (Upto Class-10),1653,1288134.0
265,Andhra Pradesh,2009,Male,Middle (Upto Class-8),1919,1419754.0
266,Andhra Pradesh,2009,Male,No Education,2844,1381680.0
267,Andhra Pradesh,2009,Male,Primary (Upto Class-5),2234,4896522.0
268,Andhra Pradesh,2010,Female,Diploma/Certificate,40,6153.0
269,Andhra Pradesh,2010,Female,Graduate And Above,121,436893.0
270,Andhra Pradesh,2010,Female,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),309,870032.0
271,Andhra Pradesh,2010,Female,Matriculate/Secondary (Upto Class-10),598,1128700.0
272,Andhra Pradesh,2010,Female,Middle (Upto Class-8),884,1314301.0
273,Andhra Pradesh,2010,Female,No Education,1700,1387914.0
274,Andhra Pradesh,2010,Female,Primary (Upto Class-5),1273,4408386.0
275,Andhra Pradesh,2010,Male,Diploma/Certificate,104,20110.0
276,Andhra Pradesh,2010,Male,Graduate And Above,379,834616.0
277,Andhra Pradesh,2010,Male,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),875,1271706.0
278,Andhra Pradesh,2010,Male,Matriculate/Secondary (Upto Class-10),1775,1339945.0
279,Andhra Pradesh,2010,Male,Middle (Upto Class-8),2097,1458957.0
280,Andhra Pradesh,2010,Male,No Education,3115,1387886.0
281,Andhra Pradesh,2010,Male,Primary (Upto Class-5),2465,4845607.0
282,Andhra Pradesh,2011,Female,Diploma/Certificate,30,6566.0
283,Andhra Pradesh,2011,Female,Graduate And Above,60,472951.0
284,Andhra Pradesh,2011,Female,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),450,928625.0
285,Andhra Pradesh,2011,Female,Matriculate/Secondary (Upto Class-10),642,1191028.0
286,Andhra Pradesh,2011,Female,Middle (Upto Class-8),1028,1371377.0
287,Andhra Pradesh,2011,Female,No Education,1724,1388012.0
288,Andhra Pradesh,2011,Female,Primary (Upto Class-5),1007,4394257.0
289,Andhra Pradesh,2011,Male,Diploma/Certificate,136,21487.0
290,Andhra Pradesh,2011,Male,Graduate And Above,263,892773.0
291,Andhra Pradesh,2011,Male,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),873,1344027.0
292,Andhra Pradesh,2011,Male,Matriculate/Secondary (Upto Class-10),1484,1391748.0
293,Andhra Pradesh,2011,Male,Middle (Upto Class-8),2327,1498152.0
294,Andhra Pradesh,2011,Male,No Education,3015,1394085.0
295,Andhra Pradesh,2011,Male,Primary (Upto Class-5),1979,4794681.0
296,Andhra Pradesh,2012,Female,Diploma/Certificate,28,6988.0
297,Andhra Pradesh,2012,Female,Graduate And Above,126,509012.0
298,Andhra Pradesh,2012,Female,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),333,987225.0
299,Andhra Pradesh,2012,Female,Matriculate/Secondary (Upto Class-10),636,1253361.0
300,Andhra Pradesh,2012,Female,Middle (Upto Class-8),859,1428453.0
301,Andhra Pradesh,2012,Female,No Education,1630,1388117.0
302,Andhra Pradesh,2012,Female,Primary (Upto Class-5),1080,4380139.0
303,Andhra Pradesh,2012,Male,Diploma/Certificate,110,22868.0
304,Andhra Pradesh,2012,Male,Graduate And Above,402,950939.0
305,Andhra Pradesh,2012,Male,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),541,1416352.0
306,Andhra Pradesh,2012,Male,Matriculate/Secondary (Upto Class-10),1296,1443559.0
307,Andhra Pradesh,2012,Male,Middle (Upto Class-8),1880,1537355.0
308,Andhra Pradesh,2012,Male,No Education,3311,1400291.0
309,Andhra Pradesh,2012,Male,Primary (Upto Class-5),1949,4743766.0
310,Andhra Pradesh,2013,Female,Diploma/Certificate,53,7410.0
311,Andhra Pradesh,2013,Female,Graduate And Above,165,545073.0
312,Andhra Pradesh,2013,Female,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),399,1045825.0
313,Andhra Pradesh,2013,Female,Matriculate/Secondary (Upto Class-10),704,1315694.0
314,Andhra Pradesh,2013,Female,Middle (Upto Class-8),759,1485529.0
315,Andhra Pradesh,2013,Female,No Education,1704,1388222.0
316,Andhra Pradesh,2013,Female,Primary (Upto Class-5),892,4366021.0
317,Andhra Pradesh,2013,Male,Diploma/Certificate,104,24249.0
318,Andhra Pradesh,2013,Male,Graduate And Above,555,1009105.0
319,Andhra Pradesh,2013,Male,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),795,1488677.0
320,Andhra Pradesh,2013,Male,Matriculate/Secondary (Upto Class-10),1605,1495370.0
321,Andhra Pradesh,2013,Male,Middle (Upto Class-8),1760,1576558.0
322,Andhra Pradesh,2013,Male,No Education,3127,1406497.0
323,Andhra Pradesh,2013,Male,Primary (Upto Class-5),1895,4692851.0
324,Andhra Pradesh,2014,Female,Diploma/Certificate,29,7832.0
325,Andhra Pradesh,2014,Female,Graduate And Above,90,581134.0
326,Andhra Pradesh,2014,Female,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),342,1104425.0
327,Andhra Pradesh,2014,Female,Matriculate/Secondary (Upto Class-10),600,1378027.0
328,Andhra Pradesh,2014,Female,Middle (Upto Class-8),635,1542605.0
329,Andhra Pradesh,2014,Female,No Education,1229,1388327.0
330,Andhra Pradesh,2014,Female,Primary (Upto Class-5),847,4351903.0
331,Andhra Pradesh,2014,Female,Professionals (Mba; Etc.),18,68155.0
332,Andhra Pradesh,2014,Female,Status Not Known,1044,181895.0
333,Andhra Pradesh,2014,Male,Diploma/Certificate,155,25630.0
334,Andhra Pradesh,2014,Male,Graduate And Above,436,1067271.0
335,Andhra Pradesh,2014,Male,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),906,1561002.0
336,Andhra Pradesh,2014,Male,Matriculate/Secondary (Upto Class-10),1696,1547181.0
337,Andhra Pradesh,2014,Male,Middle (Upto Class-8),1627,1615761.0
338,Andhra Pradesh,2014,Male,No Education,2179,1412703.0
339,Andhra Pradesh,2014,Male,Primary (Upto Class-5),1664,4641936.0
340,Andhra Pradesh,2014,Male,Professionals (Mba; Etc.),66,214728.0
341,Andhra Pradesh,2014,Male,Status Not Known,2160,266954.0
342,Arunachal Pradesh,2001,Female,Matriculate/Secondary (Upto Class-10),2,6857.0
343,Arunachal Pradesh,2001,Female,Middle (Upto Class-8),11,12774.0
344,Arunachal Pradesh,2001,Female,No Education,10,18866.0
345,Arunachal Pradesh,2001,Female,Primary (Upto Class-5),12,71053.0
346,Arunachal Pradesh,2001,Male,Graduate And Above,1,2030.0
347,Arunachal Pradesh,2001,Male,Higher Secondary/ Intermediate/ Pre-University (Upto Class-12),1,5553.0
348,Arunachal Pradesh,2001,Male,Matriculate/Secondary (Upto Class-10),21,10106.0
349,Arunachal Pradesh,2001,Male,Middle (Upto Class-8),19,16831.0
350,Arunachal Pradesh,2001,Male,No Education,14,21399.0
351,Arunachal Pradesh,2001,Male,Primary (Upto Class-5),19,85845.0
352,Arunachal Pradesh,2002,Female,Matriculate/Secondary (Upto Class-10),1,8297.0
353,Arunachal Pradesh,2002,Female,Middle (Upto Class-8),12,14606.0
354,Arunachal Pradesh,2002,Female,No Education,18,20216.0
355,Arunachal Pradesh,2002,Female,Primary (Upto Class-5),12,74846.0
356,Arunachal Pradesh,2002,Male,Matriculate/Secondary (Upto Class-10),14,11462.0
357,Arunachal Pradesh,2002,Male,Middle (Upto Class-8),17,18516.0
358,Arunachal Pradesh,2002,Male,No Education,18,22466.0
359,Arunachal Pradesh,2002,Male,Primary (Upto Class-5),22,88899.0
360,Arunachal Pradesh,2003,Female,Matriculate/Secondary (Upto Class-10),8,9737.0
361,Arunachal Pradesh,2003,Female,Middle (Upto Class-8),5,16438.0
362,Arunachal Pradesh,2003,Female,No Education,8,21566.0
363,Arunachal Pradesh,2003,Female,Primary (Upto Class-5),6,78639.0
