States/UTs,Year,CrimeHead,Male upto 14 years,Male 15-29 years,Male 30-44 years,Male 45-59 years,Male 60 years and above,Female upto 14 years,Female 15-29 years,Female 30-44 years,Female 45-59 years,Female 60 years and above
Arunachal Pradesh,2014,Love affairs,0,2,0,0,0,0,2,0,0,0
Arunachal Pradesh,2014,Poverty,0,1,1,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Unemployment,0,1,0,0,0,0,2,0,0,0
Arunachal Pradesh,2014,Property dispute,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Suspected/Illicit relation,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Illegitimate Pregnancy,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Physical Abuse (Rape; etc.),0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Professional/Career Problem,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Causes not known,0,22,14,5,1,2,10,0,0,0
Arunachal Pradesh,2014,Other causes,2,12,13,8,0,0,10,1,1,0
Arunachal Pradesh,2014,Total,4,54,34,16,2,2,36,7,1,0
Assam,2014,Bankruptcy or indebtedness,0,0,0,0,0,0,0,0,0,0
Assam,2014,Marriage Related Issues,0,11,10,4,0,0,25,7,1,0
Assam,2014,Non Settlement of Marriage,0,4,0,0,0,0,10,1,0,0
Assam,2014,Dowry Related Issues,0,0,0,0,0,0,8,1,0,0
Assam,2014,Extra Marital affairs,0,2,3,0,0,0,2,0,0,0
Assam,2014,Divorce,0,0,0,0,0,0,2,1,0,0
Assam,2014,Others,0,5,7,4,0,0,3,4,1,0
Assam,2014,Failure in Examination,0,149,2,0,0,0,103,0,0,0
Assam,2014,Impotency/Infertility,0,0,0,0,0,0,0,0,0,0
Assam,2014,Other Family problems,1,75,90,49,0,0,60,34,15,2
Assam,2014,Illness,0,35,43,36,8,0,8,12,3,0
Assam,2014,AIDS/STD,0,0,0,0,0,0,0,0,0,0
Assam,2014,Cancer,0,0,0,0,2,0,0,0,0,0
Assam,2014,Paralysis,0,0,0,0,0,0,0,0,0,0
Assam,2014,Insanity/Mental illness,0,2,2,5,1,0,0,0,1,0
Assam,2014,Other prolonged illness,0,33,41,31,5,0,8,12,2,0
Assam,2014,Death of dear person,0,15,14,12,0,0,0,0,0,0
Assam,2014,Drug abuse/addiction,0,0,0,1,0,0,0,0,0,0
Assam,2014,Fall in social reputation,0,6,6,7,3,2,2,1,0,0
Assam,2014,Ideological causes/Hero worshipping,0,0,0,0,0,0,0,0,0,0
Assam,2014,Love affairs,0,209,113,12,1,1,126,57,0,0
Assam,2014,Poverty,0,27,35,22,0,0,3,8,0,0
Assam,2014,Unemployment,0,25,26,24,4,0,2,1,0,0
Assam,2014,Property dispute,0,45,74,55,1,0,19,27,0,0
Assam,2014,Suspected/Illicit relation,0,0,0,0,0,0,1,1,0,0
Assam,2014,Illegitimate Pregnancy,0,0,0,0,0,0,0,0,0,0
Assam,2014,Physical Abuse (Rape; etc.),0,0,0,0,0,0,0,0,0,0
Assam,2014,Professional/Career Problem,0,0,2,1,0,0,0,0,0,0
Assam,2014,Causes not known,4,206,250,155,24,0,137,107,69,6
Assam,2014,Other causes,2,216,250,132,18,1,109,58,26,2
Assam,2014,Total,7,1019,915,510,59,4,595,313,114,10
Bihar,2014,Bankruptcy or indebtedness,0,1,2,2,0,0,0,0,0,0
Bihar,2014,Marriage Related Issues,0,47,17,19,1,0,60,23,3,0
Bihar,2014,Non Settlement of Marriage,0,16,3,0,0,0,11,6,0,0
Bihar,2014,Dowry Related Issues,0,0,2,1,0,0,28,2,0,0
Bihar,2014,Extra Marital affairs,0,10,3,0,0,0,3,0,0,0
Bihar,2014,Divorce,0,1,0,0,0,0,0,3,0,0
Bihar,2014,Others,0,20,9,18,1,0,18,12,3,0
Bihar,2014,Failure in Examination,1,17,1,0,0,0,18,5,0,0
Bihar,2014,Impotency/Infertility,0,0,0,0,0,0,0,2,0,0
Bihar,2014,Other Family problems,0,19,19,8,0,1,26,18,3,2
Bihar,2014,Illness,0,1,6,8,2,0,1,8,9,0
Bihar,2014,AIDS/STD,0,0,0,0,0,0,0,0,0,0
Bihar,2014,Cancer,0,0,2,2,0,0,0,3,2,0
Bihar,2014,Paralysis,0,0,0,0,0,0,0,0,0,0
Bihar,2014,Insanity/Mental illness,0,1,3,1,0,0,0,1,1,0
Bihar,2014,Other prolonged illness,0,0,1,5,2,0,1,4,6,0
Bihar,2014,Death of dear person,0,1,1,0,0,0,1,0,0,0
Bihar,2014,Drug abuse/addiction,1,9,3,0,0,0,0,2,1,0
Bihar,2014,Fall in social reputation,0,0,0,0,0,0,0,0,0,0
Bihar,2014,Ideological causes/Hero worshipping,0,0,0,0,0,0,0,0,0,0
Bihar,2014,Love affairs,4,16,0,0,0,1,23,8,0,0
Bihar,2014,Poverty,0,0,3,1,0,0,0,0,0,0
Bihar,2014,Unemployment,0,3,37,0,50,0,0,10,6,0
Bihar,2014,Property dispute,0,0,1,2,0,0,0,0,0,0
Bihar,2014,Suspected/Illicit relation,0,0,0,0,0,0,0,0,0,0
Bihar,2014,Illegitimate Pregnancy,0,0,0,0,0,0,0,0,0,0
Bihar,2014,Physical Abuse (Rape; etc.),0,0,0,0,0,0,2,1,0,0
Bihar,2014,Professional/Career Problem,0,2,0,1,0,0,0,2,0,0
Bihar,2014,Causes not known,0,4,8,4,0,0,4,4,0,0
Bihar,2014,Other causes,5,41,36,17,1,2,30,18,3,0
Bihar,2014,Total,11,161,134,62,54,4,165,101,25,2
Chhattisgarh,2014,Bankruptcy or indebtedness,0,2,1,3,0,0,0,0,0,0
Chhattisgarh,2014,Marriage Related Issues,4,29,25,12,6,1,133,37,15,13
Chhattisgarh,2014,Non Settlement of Marriage,2,7,2,0,0,0,7,2,0,0
Chhattisgarh,2014,Dowry Related Issues,0,2,2,4,1,0,88,18,10,11
Chhattisgarh,2014,Extra Marital affairs,0,3,2,0,0,0,11,6,3,0
Chhattisgarh,2014,Divorce,0,3,7,3,2,0,3,5,0,0
Chhattisgarh,2014,Others,2,14,12,5,3,1,24,6,2,2
Chhattisgarh,2014,Failure in Examination,11,38,0,0,0,7,37,0,0,0
Chhattisgarh,2014,Impotency/Infertility,0,24,0,1,0,0,29,18,3,1
Chhattisgarh,2014,Other Family problems,3,173,210,137,21,3,160,93,33,18
Chhattisgarh,2014,Illness,0,177,187,195,67,4,101,82,82,33
Chhattisgarh,2014,AIDS/STD,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2014,Cancer,0,0,0,1,0,0,2,0,2,0
Chhattisgarh,2014,Paralysis,0,4,2,11,6,0,0,5,7,9
Chhattisgarh,2014,Insanity/Mental illness,0,89,68,65,18,3,35,25,29,10
Chhattisgarh,2014,Other prolonged illness,0,84,117,118,43,1,64,52,44,14
Chhattisgarh,2014,Death of dear person,0,3,3,13,0,0,2,2,1,2
Chhattisgarh,2014,Drug abuse/addiction,0,43,32,18,4,0,2,0,0,0
Chhattisgarh,2014,Fall in social reputation,0,1,1,3,0,0,1,0,0,0
Chhattisgarh,2014,Ideological causes/Hero worshipping,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2014,Love affairs,0,92,26,1,0,2,40,3,1,0
Chhattisgarh,2014,Poverty,0,2,0,0,0,0,0,0,0,0
Chhattisgarh,2014,Unemployment,0,14,6,2,0,0,0,1,0,0
Chhattisgarh,2014,Property dispute,0,0,4,0,0,0,1,3,0,0
Chhattisgarh,2014,Suspected/Illicit relation,0,0,5,4,0,0,11,4,0,0
Chhattisgarh,2014,Illegitimate Pregnancy,0,0,0,0,0,0,1,0,0,0
Chhattisgarh,2014,Physical Abuse (Rape; etc.),0,0,0,0,0,0,1,0,0,0
Chhattisgarh,2014,Professional/Career Problem,0,0,0,2,0,0,2,0,0,0
Chhattisgarh,2014,Causes not known,13,362,315,160,52,12,255,109,45,12
Chhattisgarh,2014,Other causes,24,511,407,215,99,14,263,128,65,34
Chhattisgarh,2014,Total,55,1471,1222,766,249,43,1039,480,245,113
Goa,2014,Bankruptcy or indebtedness,0,0,0,0,0,0,0,0,0,0
Goa,2014,Marriage Related Issues,0,0,2,0,0,0,1,0,0,0
Goa,2014,Non Settlement of Marriage,0,0,1,0,0,0,0,0,0,0
Goa,2014,Dowry Related Issues,0,0,0,0,0,0,0,0,0,0
Goa,2014,Extra Marital affairs,0,0,0,0,0,0,0,0,0,0
Goa,2014,Divorce,0,0,0,0,0,0,0,0,0,0
Goa,2014,Others,0,0,1,0,0,0,1,0,0,0
Goa,2014,Failure in Examination,0,0,0,0,0,0,0,0,0,0
Goa,2014,Impotency/Infertility,0,0,0,0,0,0,0,0,0,0
Goa,2014,Other Family problems,0,7,5,8,4,0,9,5,1,0
Goa,2014,Illness,1,6,19,15,9,0,3,7,6,10
Goa,2014,AIDS/STD,0,0,0,0,0,0,0,0,0,0
Goa,2014,Cancer,0,0,2,0,0,0,0,0,1,0
Goa,2014,Paralysis,0,0,0,1,0,0,0,0,0,0
Goa,2014,Insanity/Mental illness,1,1,12,11,3,0,2,5,1,6
Goa,2014,Other prolonged illness,0,5,5,3,6,0,1,2,4,4
Goa,2014,Death of dear person,0,0,0,1,0,1,0,0,2,0
Goa,2014,Drug abuse/addiction,0,0,0,0,0,0,0,0,0,0
Goa,2014,Fall in social reputation,0,0,0,0,0,0,0,0,0,0
Goa,2014,Ideological causes/Hero worshipping,0,0,0,0,0,0,0,0,0,0
Goa,2014,Love affairs,0,6,1,0,0,0,9,0,0,0
Goa,2014,Poverty,0,4,0,0,0,0,0,0,0,0
Goa,2014,Unemployment,0,1,2,1,0,0,0,0,0,0
Goa,2014,Property dispute,0,1,0,0,0,0,0,0,0,0
Goa,2014,Suspected/Illicit relation,0,0,0,0,0,0,0,0,0,0
Goa,2014,Illegitimate Pregnancy,0,0,0,0,0,0,0,0,0,0
Goa,2014,Physical Abuse (Rape; etc.),0,0,0,0,0,0,0,0,0,0
Goa,2014,Professional/Career Problem,0,1,1,0,0,0,0,0,0,0
Goa,2014,Causes not known,0,17,19,15,4,1,10,6,1,1
Goa,2014,Other causes,0,21,19,12,1,0,7,5,3,0
Goa,2014,Total,1,64,68,52,18,2,39,23,13,11
Gujarat,2014,Bankruptcy or indebtedness,0,14,38,20,2,0,4,4,2,0
Gujarat,2014,Marriage Related Issues,1,105,109,20,2,0,111,53,5,1
Gujarat,2014,Non Settlement of Marriage,0,18,5,1,0,0,22,2,0,0
Gujarat,2014,Dowry Related Issues,0,0,0,0,0,0,10,0,0,0
Gujarat,2014,Extra Marital affairs,0,2,8,0,0,0,6,5,0,0
Gujarat,2014,Divorce,0,11,11,0,0,0,7,6,0,0
Gujarat,2014,Others,1,74,85,19,2,0,66,40,5,1
Gujarat,2014,Failure in Examination,3,53,1,0,0,2,46,0,0,0
Gujarat,2014,Impotency/Infertility,0,2,4,1,0,0,7,7,2,0
Gujarat,2014,Other Family problems,5,160,168,77,13,3,193,93,34,8
Gujarat,2014,Illness,0,181,304,220,117,3,129,164,106,88
Gujarat,2014,AIDS/STD,0,1,8,2,1,0,0,1,0,1
Gujarat,2014,Cancer,0,4,7,12,3,0,1,1,1,1
Gujarat,2014,Paralysis,0,2,1,4,3,0,1,2,1,0
Gujarat,2014,Insanity/Mental illness,0,84,90,66,19,0,56,72,35,21
Gujarat,2014,Other prolonged illness,0,90,198,136,91,3,71,88,69,65
Gujarat,2014,Death of dear person,0,14,13,11,5,1,16,2,2,2
Gujarat,2014,Drug abuse/addiction,1,18,18,8,3,2,8,7,3,0
Gujarat,2014,Fall in social reputation,0,4,4,7,1,0,1,0,1,0
Gujarat,2014,Ideological causes/Hero worshipping,0,3,3,0,0,0,1,1,0,0
Gujarat,2014,Love affairs,2,109,37,1,0,4,109,11,0,0
Gujarat,2014,Poverty,0,13,22,10,0,0,9,7,0,1
Gujarat,2014,Unemployment,0,77,89,36,5,0,1,2,1,0
Gujarat,2014,Property dispute,0,3,6,3,0,0,1,1,1,0
Gujarat,2014,Suspected/Illicit relation,0,3,7,0,0,0,8,4,0,0
Gujarat,2014,Illegitimate Pregnancy,0,0,0,0,0,0,1,1,0,0
Gujarat,2014,Physical Abuse (Rape; etc.),0,0,0,0,0,0,2,3,0,0
Gujarat,2014,Professional/Career Problem,0,16,24,8,0,0,2,3,0,0
Gujarat,2014,Causes not known,8,320,275,162,42,4,239,144,70,24
Gujarat,2014,Other causes,8,674,585,245,80,7,446,258,110,36
Gujarat,2014,Total,28,1769,1707,829,270,26,1334,765,337,160
Haryana,2014,Bankruptcy or indebtedness,0,0,1,4,0,0,0,0,0,0
Haryana,2014,Marriage Related Issues,0,3,3,2,0,0,23,5,0,0
Haryana,2014,Non Settlement of Marriage,0,1,0,0,0,0,1,0,0,0
Haryana,2014,Dowry Related Issues,0,0,1,0,0,0,12,5,0,0
Haryana,2014,Extra Marital affairs,0,0,0,0,0,0,0,0,0,0
Haryana,2014,Divorce,0,0,0,0,0,0,0,0,0,0
Haryana,2014,Others,0,2,2,2,0,0,10,0,0,0
Haryana,2014,Failure in Examination,2,21,0,0,0,1,7,0,0,0
Haryana,2014,Impotency/Infertility,0,0,0,0,0,0,0,0,0,0
Haryana,2014,Other Family problems,2,100,98,34,6,2,56,45,5,2
Haryana,2014,Illness,0,56,93,102,33,1,38,16,13,2
Haryana,2014,AIDS/STD,0,0,0,0,0,0,0,0,0,0
Haryana,2014,Cancer,0,0,1,4,2,0,0,1,0,1
Haryana,2014,Paralysis,0,0,0,0,0,0,0,0,0,0
Haryana,2014,Insanity/Mental illness,0,21,26,9,1,0,15,3,4,0
Haryana,2014,Other prolonged illness,0,35,66,89,30,1,23,12,9,1
Haryana,2014,Death of dear person,0,0,3,0,0,0,3,0,0,1
Haryana,2014,Drug abuse/addiction,0,15,42,25,4,0,0,0,0,0
Haryana,2014,Fall in social reputation,0,9,8,3,1,0,9,3,0,0
Haryana,2014,Ideological causes/Hero worshipping,0,0,0,0,0,0,0,0,0,0
Haryana,2014,Love affairs,0,12,2,0,0,0,9,0,0,0
Haryana,2014,Poverty,0,1,2,0,0,0,1,0,0,0
Haryana,2014,Unemployment,0,23,14,0,0,0,0,1,0,0
Haryana,2014,Property dispute,0,19,21,13,4,0,5,2,3,0
Haryana,2014,Suspected/Illicit relation,0,2,2,0,0,0,4,0,0,0
Haryana,2014,Illegitimate Pregnancy,0,0,0,0,0,0,0,0,0,0
Haryana,2014,Physical Abuse (Rape; etc.),0,0,0,0,0,0,0,0,0,0
Haryana,2014,Professional/Career Problem,0,21,12,1,0,0,7,3,0,0
Haryana,2014,Causes not known,1,228,170,125,37,5,70,38,9,6
Haryana,2014,Other causes,27,453,442,169,51,9,152,79,32,14
Haryana,2014,Total,32,963,913,478,136,18,384,192,62,25
Himachal Pradesh,2014,Bankruptcy or indebtedness,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2014,Marriage Related Issues,0,20,13,6,4,0,21,18,3,1
Himachal Pradesh,2014,Non Settlement of Marriage,0,10,2,1,0,0,3,2,0,0
Himachal Pradesh,2014,Dowry Related Issues,0,0,0,0,0,0,3,1,1,0
Himachal Pradesh,2014,Extra Marital affairs,0,2,1,0,0,0,2,1,0,0
Himachal Pradesh,2014,Divorce,0,2,0,0,0,0,0,0,0,0
Himachal Pradesh,2014,Others,0,6,10,5,4,0,13,14,2,1
Himachal Pradesh,2014,Failure in Examination,0,3,0,0,0,1,2,0,0,0
Himachal Pradesh,2014,Impotency/Infertility,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2014,Other Family problems,0,23,29,14,3,0,14,18,10,1
Himachal Pradesh,2014,Illness,1,32,26,8,4,0,16,13,10,4
Himachal Pradesh,2014,AIDS/STD,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2014,Cancer,0,0,1,1,0,0,0,0,0,0
Himachal Pradesh,2014,Paralysis,0,0,1,0,0,0,0,0,0,0
Himachal Pradesh,2014,Insanity/Mental illness,1,18,16,5,1,0,8,7,4,2
Himachal Pradesh,2014,Other prolonged illness,0,14,8,2,3,0,8,6,6,2
Himachal Pradesh,2014,Death of dear person,0,0,0,1,0,0,1,0,1,2
Himachal Pradesh,2014,Drug abuse/addiction,0,5,5,0,0,0,0,0,0,0
Himachal Pradesh,2014,Fall in social reputation,0,0,2,0,0,0,0,0,0,0
Himachal Pradesh,2014,Ideological causes/Hero worshipping,0,0,1,0,0,0,0,0,0,0
Himachal Pradesh,2014,Love affairs,0,14,1,0,0,0,14,1,0,0
Himachal Pradesh,2014,Poverty,0,0,0,0,1,0,0,2,0,0
Himachal Pradesh,2014,Unemployment,0,4,0,0,0,0,1,0,0,0
Himachal Pradesh,2014,Property dispute,0,1,7,6,1,0,4,5,2,0
Himachal Pradesh,2014,Suspected/Illicit relation,0,2,4,2,0,0,2,1,1,0
Himachal Pradesh,2014,Illegitimate Pregnancy,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2014,Physical Abuse (Rape; etc.),0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2014,Professional/Career Problem,0,1,0,0,0,0,1,0,0,0
Himachal Pradesh,2014,Causes not known,3,31,44,16,5,2,27,13,5,2
Himachal Pradesh,2014,Other causes,2,18,18,11,4,1,11,8,6,3
Himachal Pradesh,2014,Total,6,154,150,64,22,4,114,79,38,13
Jammu and Kashmir,2014,Bankruptcy or indebtedness,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,2014,Marriage Related Issues,0,6,2,1,0,0,11,0,0,0
Jammu and Kashmir,2014,Non Settlement of Marriage,0,1,0,0,0,0,6,0,0,0
Jammu and Kashmir,2014,Dowry Related Issues,0,0,0,0,0,0,1,0,0,0
Jammu and Kashmir,2014,Extra Marital affairs,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,2014,Divorce,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,2014,Others,0,5,2,1,0,0,4,0,0,0
Jammu and Kashmir,2014,Failure in Examination,0,0,0,0,0,0,2,0,0,0
Jammu and Kashmir,2014,Impotency/Infertility,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,2014,Other Family problems,1,17,8,4,1,0,9,3,2,0
Jammu and Kashmir,2014,Illness,0,3,1,2,1,0,0,1,1,0
Jammu and Kashmir,2014,AIDS/STD,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,2014,Cancer,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,2014,Paralysis,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,2014,Insanity/Mental illness,0,3,1,2,1,0,0,0,1,0
Jammu and Kashmir,2014,Other prolonged illness,0,0,0,0,0,0,0,1,0,0
Jammu and Kashmir,2014,Death of dear person,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,2014,Drug abuse/addiction,0,0,1,0,0,0,0,0,0,0
Jammu and Kashmir,2014,Fall in social reputation,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,2014,Ideological causes/Hero worshipping,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,2014,Love affairs,0,3,0,0,0,0,8,0,0,0
Jammu and Kashmir,2014,Poverty,0,0,1,0,0,0,0,0,0,0
Jammu and Kashmir,2014,Unemployment,0,1,0,1,1,0,2,1,0,0
Jammu and Kashmir,2014,Property dispute,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,2014,Suspected/Illicit relation,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,2014,Illegitimate Pregnancy,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,2014,Physical Abuse (Rape; etc.),0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,2014,Professional/Career Problem,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,2014,Causes not known,1,19,13,11,4,0,22,9,2,0
Jammu and Kashmir,2014,Other causes,1,9,28,8,1,0,21,12,2,0
Jammu and Kashmir,2014,Total,3,58,54,27,8,0,75,26,7,0
Jharkhand,2014,Bankruptcy or indebtedness,0,2,1,1,0,0,1,1,0,0
Jharkhand,2014,Marriage Related Issues,0,32,16,7,0,0,25,4,1,0
Jharkhand,2014,Non Settlement of Marriage,0,6,1,0,0,0,2,0,0,0
Jharkhand,2014,Dowry Related Issues,0,0,1,0,0,0,6,0,0,0
Jharkhand,2014,Extra Marital affairs,0,0,0,0,0,0,2,0,0,0
Jharkhand,2014,Divorce,0,0,0,0,0,0,5,3,1,0
Jharkhand,2014,Others,0,26,14,7,0,0,10,1,0,0
Jharkhand,2014,Failure in Examination,2,24,5,0,0,2,11,1,0,0
Jharkhand,2014,Impotency/Infertility,0,1,1,0,0,0,1,2,0,1
Jharkhand,2014,Other Family problems,0,35,22,40,6,0,29,19,0,0
Jharkhand,2014,Illness,1,27,30,20,0,0,7,6,7,3
Jharkhand,2014,AIDS/STD,0,8,5,2,0,0,0,0,2,0
Jharkhand,2014,Cancer,0,0,0,0,0,0,0,0,0,0
Jharkhand,2014,Paralysis,0,0,0,0,0,0,0,0,0,0
Jharkhand,2014,Insanity/Mental illness,1,9,14,9,0,0,6,2,3,2
Jharkhand,2014,Other prolonged illness,0,10,11,9,0,0,1,4,2,1
Jharkhand,2014,Death of dear person,0,1,1,1,2,0,1,0,0,0
Jharkhand,2014,Drug abuse/addiction,0,11,5,0,0,0,1,0,1,0
Jharkhand,2014,Fall in social reputation,0,4,5,4,3,0,0,1,2,0
Jharkhand,2014,Ideological causes/Hero worshipping,0,0,0,0,0,0,0,0,0,0
Jharkhand,2014,Love affairs,0,31,6,6,0,1,21,2,0,0
Jharkhand,2014,Poverty,0,10,3,3,0,0,3,5,3,0
Jharkhand,2014,Unemployment,0,7,9,4,0,0,10,4,0,0
Jharkhand,2014,Property dispute,0,6,11,4,0,0,0,1,0,0
Jharkhand,2014,Suspected/Illicit relation,0,1,0,2,0,0,2,0,0,0
Jharkhand,2014,Illegitimate Pregnancy,0,0,0,0,0,0,0,0,0,0
Jharkhand,2014,Physical Abuse (Rape; etc.),0,0,0,0,0,0,0,0,0,0
Jharkhand,2014,Professional/Career Problem,0,3,3,1,0,0,2,0,0,0
Jharkhand,2014,Causes not known,4,52,47,28,2,2,51,28,6,6
Jharkhand,2014,Other causes,14,165,108,38,12,19,85,24,6,2
Jharkhand,2014,Total,21,412,273,159,25,24,250,98,26,12
Karnataka,2014,Bankruptcy or indebtedness,0,29,59,45,6,1,3,8,1,1
Karnataka,2014,Marriage Related Issues,0,66,34,7,2,0,81,27,6,1
Karnataka,2014,Non Settlement of Marriage,0,16,13,0,0,0,21,5,0,0
Karnataka,2014,Dowry Related Issues,0,0,0,0,0,0,6,5,0,0
Karnataka,2014,Extra Marital affairs,0,7,4,0,0,0,6,2,1,0
Karnataka,2014,Divorce,0,1,4,0,1,0,5,4,0,0
Karnataka,2014,Others,0,42,13,7,1,0,43,11,5,1
Karnataka,2014,Failure in Examination,5,73,2,0,0,2,82,0,0,0
Karnataka,2014,Impotency/Infertility,0,2,6,1,0,0,6,3,0,0
Karnataka,2014,Other Family problems,4,350,457,273,44,1,259,226,83,11
Karnataka,2014,Illness,5,488,536,316,171,6,352,205,133,85
Karnataka,2014,AIDS/STD,0,2,7,5,0,0,1,2,0,0
Karnataka,2014,Cancer,0,5,10,10,8,0,3,5,3,3
Karnataka,2014,Paralysis,1,4,17,13,9,0,0,3,2,6
Karnataka,2014,Insanity/Mental illness,1,162,144,76,27,3,85,58,38,24
