States/UTs,Year,CrimeHead,Male upto 14 years,Male 14-29 years,Male 30-45 years,Male 45-60 years,Male 60 years and above,Female upto 14 years,Female 14-29 years,Female 30-45 years,Female 45-60 years,Female 60 years and above
Goa,2014,By Jumping off moving trains/vehicles,0,0,0,0,0,0,0,0,0,0
Goa,2014,By Coming under running vehicles/trains,0,0,0,0,0,0,0,0,0,0
Goa,2014,By touching electric wire,0,0,0,0,0,0,0,0,0,0
Goa,2014,By Other means,0,0,0,0,1,0,1,0,0,0
Goa,2014,Total,1,64,68,52,18,2,39,23,13,11
Gujarat,2014,By consuming Sleeping Pills,0,4,6,6,0,0,1,2,0,0
Gujarat,2014,By Drowning,1,155,133,75,18,3,105,41,11,6
Gujarat,2014,By Fire/Self Immolation,1,68,104,53,22,3,193,150,61,51
Gujarat,2014,By Firearms,0,8,10,8,3,0,5,5,1,3
Gujarat,2014,By Hanging,12,682,632,275,56,10,497,216,83,21
Gujarat,2014,By Poison,8,526,510,281,110,8,403,242,128,50
Gujarat,2014,By Consuming Insecticides,4,249,251,132,63,4,184,104,53,21
Gujarat,2014,By Consuming other Poison,4,277,259,149,47,4,219,138,75,29
Gujarat,2014,By Self inflicting  Injury,0,7,8,7,2,0,7,8,1,0
Gujarat,2014,By Jumping from,0,36,32,8,5,0,12,11,5,3
Gujarat,2014,Building,0,15,14,2,3,0,6,5,3,1
Gujarat,2014,Other sites,0,10,7,1,2,0,5,4,1,1
Gujarat,2014,By Jumping off moving trains/vehicles,0,11,11,5,0,0,1,2,1,1
Gujarat,2014,By Coming under running vehicles/trains,0,97,118,56,21,1,17,16,6,7
Gujarat,2014,By touching electric wire,0,6,9,0,0,0,2,0,0,0
Gujarat,2014,By Other means,6,180,145,60,33,1,92,74,41,19
Gujarat,2014,Total,28,1769,1707,829,270,26,1334,765,337,160
Haryana,2014,By consuming Sleeping Pills,0,3,4,3,0,0,5,1,0,0
Haryana,2014,By Drowning,7,60,68,29,5,3,11,8,1,1
Haryana,2014,By Fire/Self Immolation,1,26,18,9,3,1,22,17,2,4
Haryana,2014,By Firearms,0,2,8,1,1,0,0,1,0,0
Haryana,2014,By Hanging,1,274,217,101,13,5,152,49,12,3
Haryana,2014,By Poison,4,179,163,75,42,1,124,57,16,5
Haryana,2014,By Consuming Insecticides,2,39,23,17,8,0,17,8,2,1
Haryana,2014,By Consuming other Poison,2,140,140,58,34,1,107,49,14,4
Haryana,2014,By Self inflicting  Injury,0,3,4,2,1,0,1,0,1,0
Haryana,2014,By Jumping from,1,21,27,10,3,0,7,6,3,0
Haryana,2014,Building,0,15,17,5,0,0,3,5,1,0
Haryana,2014,Other sites,1,5,10,3,1,0,4,1,1,0
Haryana,2014,By Jumping off moving trains/vehicles,0,1,0,2,2,0,0,0,1,0
Haryana,2014,By Coming under running vehicles/trains,1,22,14,6,1,1,1,1,0,0
Haryana,2014,By touching electric wire,1,25,26,11,3,0,1,2,5,0
Haryana,2014,By Other means,16,348,364,231,64,7,60,50,22,12
Haryana,2014,Total,32,963,913,478,136,18,384,192,62,25
Himachal Pradesh,2014,By consuming Sleeping Pills,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2014,By Drowning,0,8,3,1,0,0,4,6,3,0
Himachal Pradesh,2014,By Fire/Self Immolation,1,7,2,2,0,2,6,5,2,0
Himachal Pradesh,2014,By Firearms,0,1,2,0,0,0,0,0,0,0
Himachal Pradesh,2014,By Hanging,2,70,61,15,4,1,36,15,2,2
Himachal Pradesh,2014,By Poison,2,59,75,44,16,0,46,41,23,6
Himachal Pradesh,2014,By Consuming Insecticides,1,23,28,22,7,0,16,21,10,2
Himachal Pradesh,2014,By Consuming other Poison,1,36,47,22,9,0,30,20,13,4
Himachal Pradesh,2014,By Self inflicting  Injury,0,0,0,0,0,0,1,0,0,0
Himachal Pradesh,2014,By Jumping from,0,1,1,0,0,0,1,1,0,0
Himachal Pradesh,2014,Building,0,1,0,0,0,0,0,0,0,0
Himachal Pradesh,2014,Other sites,0,0,1,0,0,0,1,1,0,0
Himachal Pradesh,2014,By Jumping off moving trains/vehicles,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2014,By Coming under running vehicles/trains,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2014,By touching electric wire,0,0,0,0,0,0,4,0,0,0
Himachal Pradesh,2014,By Other means,1,8,6,2,2,1,16,11,8,5
Himachal Pradesh,2014,Total,6,154,150,64,22,4,114,79,38,13
Jammu & Kashmir,2014,By consuming Sleeping Pills,0,0,0,1,0,0,0,0,0,0
Jammu & Kashmir,2014,By Drowning,0,3,8,3,0,0,3,0,0,0
Jammu & Kashmir,2014,By Fire/Self Immolation,0,2,3,1,2,0,4,1,1,0
Jammu & Kashmir,2014,By Firearms,0,1,1,0,0,0,0,0,0,0
Jammu & Kashmir,2014,By Hanging,2,10,13,3,2,0,6,2,1,0
Jammu & Kashmir,2014,By Poison,1,23,12,8,1,0,46,14,1,0
Jammu & Kashmir,2014,By Consuming Insecticides,1,4,3,5,0,0,18,4,1,0
Jammu & Kashmir,2014,By Consuming other Poison,0,19,9,3,1,0,28,10,0,0
Jammu & Kashmir,2014,By Self inflicting  Injury,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2014,By Jumping from,0,2,0,0,0,0,3,0,0,0
Jammu & Kashmir,2014,Building,0,1,0,0,0,0,0,0,0,0
Jammu & Kashmir,2014,Other sites,0,0,0,0,0,0,3,0,0,0
Jammu & Kashmir,2014,By Jumping off moving trains/vehicles,0,1,0,0,0,0,0,0,0,0
Jammu & Kashmir,2014,By Coming under running vehicles/trains,0,0,2,3,0,0,0,0,1,0
Jammu & Kashmir,2014,By touching electric wire,0,1,0,0,0,0,0,0,1,0
Jammu & Kashmir,2014,By Other means,0,16,15,8,3,0,13,9,2,0
Jammu & Kashmir,2014,Total,3,58,54,27,8,0,75,26,7,0
Jharkhand,2014,By consuming Sleeping Pills,0,3,3,0,0,0,1,1,0,0
Jharkhand,2014,By Drowning,2,33,13,16,2,2,13,6,2,1
Jharkhand,2014,By Fire/Self Immolation,0,2,2,0,0,0,4,1,0,0
Jharkhand,2014,By Firearms,0,0,0,0,0,0,0,0,0,0
Jharkhand,2014,By Hanging,3,212,150,79,9,8,127,56,13,9
Jharkhand,2014,By Poison,3,15,8,13,5,0,11,7,4,0
Jharkhand,2014,By Consuming Insecticides,1,9,3,9,5,0,6,3,2,0
Jharkhand,2014,By Consuming other Poison,2,6,5,4,0,0,5,4,2,0
Jharkhand,2014,By Self inflicting  Injury,1,2,1,0,2,0,2,1,0,0
Jharkhand,2014,By Jumping from,0,11,4,1,0,0,10,0,0,0
Jharkhand,2014,Building,0,1,1,1,0,0,4,0,0,0
Jharkhand,2014,Other sites,0,10,3,0,0,0,6,0,0,0
Jharkhand,2014,By Jumping off moving trains/vehicles,0,0,0,0,0,0,0,0,0,0
Jharkhand,2014,By Coming under running vehicles/trains,0,0,0,0,0,0,0,0,0,0
Jharkhand,2014,By touching electric wire,2,4,2,0,0,0,0,0,0,0
Jharkhand,2014,By Other means,10,130,90,50,7,14,82,26,7,2
Jharkhand,2014,Total,21,412,273,159,25,24,250,98,26,12
Karnataka,2014,By consuming Sleeping Pills,0,3,5,0,3,0,8,1,1,1
Karnataka,2014,By Drowning,16,151,127,72,48,4,95,71,43,62
Karnataka,2014,By Fire/Self Immolation,0,109,105,19,13,1,123,65,21,15
Karnataka,2014,By Firearms,0,2,8,4,1,0,3,8,1,1
Karnataka,2014,By Hanging,11,1341,1330,738,185,12,714,348,152,50
Karnataka,2014,By Poison,8,695,673,412,165,9,390,227,113,38
Karnataka,2014,By Consuming Insecticides,1,106,135,87,34,4,105,54,25,11
Karnataka,2014,By Consuming other Poison,7,589,538,325,131,5,285,173,88,27
Karnataka,2014,By Self inflicting  Injury,1,3,7,3,2,0,3,1,0,0
Karnataka,2014,By Jumping from,0,7,5,5,1,0,1,1,0,2
Karnataka,2014,Building,0,5,2,3,1,0,1,0,0,1
Karnataka,2014,Other sites,0,2,2,1,0,0,0,1,0,1
Karnataka,2014,By Jumping off moving trains/vehicles,0,0,1,1,0,0,0,0,0,0
Karnataka,2014,By Coming under running vehicles/trains,0,5,6,2,0,0,2,1,1,0
Karnataka,2014,By touching electric wire,2,2,1,3,0,0,0,1,1,0
Karnataka,2014,By Other means,16,485,472,353,59,13,218,153,262,22
Karnataka,2014,Total,54,2803,2739,1611,477,39,1557,877,595,191
Kerala,2014,By consuming Sleeping Pills,0,3,8,9,8,0,7,10,8,4
Kerala,2014,By Drowning,4,58,58,60,63,1,35,45,50,76
Kerala,2014,By Fire/Self Immolation,0,21,27,26,20,3,75,72,49,71
Kerala,2014,By Firearms,0,0,0,0,1,0,1,0,0,0
Kerala,2014,By Hanging,21,848,1438,1411,898,16,420,241,231,169
Kerala,2014,By Poison,4,123,301,361,261,2,82,84,72,83
Kerala,2014,By Consuming Insecticides,2,46,115,130,94,0,32,31,25,32
Kerala,2014,By Consuming other Poison,2,77,186,231,167,2,50,53,47,51
Kerala,2014,By Self inflicting  Injury,0,2,3,10,7,0,1,1,0,1
Kerala,2014,By Jumping from,1,5,8,7,2,0,6,3,0,4
Kerala,2014,Building,0,1,0,1,1,0,3,1,0,1
Kerala,2014,Other sites,0,0,3,1,1,0,0,0,0,0
Kerala,2014,By Jumping off moving trains/vehicles,1,4,5,5,0,0,3,2,0,3
Kerala,2014,By Coming under running vehicles/trains,0,41,36,51,47,1,8,14,11,8
Kerala,2014,By touching electric wire,0,1,5,1,0,0,0,1,2,1
Kerala,2014,By Other means,0,24,47,56,26,0,14,22,11,18
Kerala,2014,Total,30,1126,1931,1992,1333,23,649,493,434,435
Madhya Pradesh,2014,By consuming Sleeping Pills,0,41,26,13,5,0,13,9,19,0
Madhya Pradesh,2014,By Drowning,10,181,98,50,25,12,172,54,30,21
Madhya Pradesh,2014,By Fire/Self Immolation,1,110,61,36,12,6,406,154,39,25
Madhya Pradesh,2014,By Firearms,1,37,17,14,2,0,11,2,0,0
Madhya Pradesh,2014,By Hanging,29,1159,820,442,158,21,881,372,105,44
Madhya Pradesh,2014,By Poison,22,619,431,211,65,15,591,247,106,38
Madhya Pradesh,2014,By Consuming Insecticides,11,258,231,105,37,8,273,139,54,21
Madhya Pradesh,2014,By Consuming other Poison,11,361,200,106,28,7,318,108,52,17
Madhya Pradesh,2014,By Self inflicting  Injury,0,4,1,0,0,0,28,3,0,0
Madhya Pradesh,2014,By Jumping from,0,16,10,5,2,0,12,1,2,2
Madhya Pradesh,2014,Building,0,6,5,0,1,0,3,0,0,2
Madhya Pradesh,2014,Other sites,0,4,2,2,0,0,3,0,1,0
Madhya Pradesh,2014,By Jumping off moving trains/vehicles,0,6,3,3,1,0,6,1,1,0
Madhya Pradesh,2014,By Coming under running vehicles/trains,0,19,10,4,3,0,2,10,2,0
Madhya Pradesh,2014,By touching electric wire,0,32,29,7,0,0,8,3,0,0
Madhya Pradesh,2014,By Other means,23,221,162,72,25,5,149,48,24,6
Madhya Pradesh,2014,Total,86,2439,1665,854,297,59,2273,903,327,136
Maharashtra,2014,By consuming Sleeping Pills,0,9,4,2,2,1,3,7,0,1
Maharashtra,2014,By Drowning,5,238,243,163,103,4,234,147,68,71
Maharashtra,2014,By Fire/Self Immolation,2,153,222,145,57,8,394,234,69,54
Maharashtra,2014,By Firearms,0,26,15,1,2,0,2,3,0,0
Maharashtra,2014,By Hanging,25,2247,2326,1228,436,46,1095,416,172,71
Maharashtra,2014,By Poison,9,1126,1282,829,367,9,608,348,142,85
Maharashtra,2014,By Consuming Insecticides,1,785,844,529,270,7,367,214,74,48
Maharashtra,2014,By Consuming other Poison,8,341,438,300,97,2,241,134,68,37
Maharashtra,2014,By Self inflicting  Injury,0,13,12,8,2,0,0,4,1,2
Maharashtra,2014,By Jumping from,0,71,68,30,21,0,34,18,15,9
Maharashtra,2014,Building,0,29,25,15,10,0,22,12,9,8
Maharashtra,2014,Other sites,0,9,18,7,1,0,2,2,3,0
Maharashtra,2014,By Jumping off moving trains/vehicles,0,33,25,8,10,0,10,4,3,1
Maharashtra,2014,By Coming under running vehicles/trains,0,46,44,22,13,0,11,8,5,2
Maharashtra,2014,By touching electric wire,2,2,7,2,1,0,11,0,4,0
Maharashtra,2014,By Other means,2,45,61,60,29,2,31,13,6,8
Maharashtra,2014,Total,45,3976,4284,2490,1033,70,2423,1198,482,303
Manipur,2014,By consuming Sleeping Pills,0,0,0,0,0,0,0,0,0,0
Manipur,2014,By Drowning,0,0,0,0,0,0,0,0,0,0
Manipur,2014,By Fire/Self Immolation,0,0,0,0,0,0,0,0,0,0
Manipur,2014,By Firearms,0,1,1,1,0,0,0,0,0,0
Manipur,2014,By Hanging,2,5,7,4,1,1,13,2,0,0
Manipur,2014,By Poison,0,3,0,1,0,0,0,2,0,0
Manipur,2014,By Consuming Insecticides,0,0,0,0,0,0,0,0,0,0
Manipur,2014,By Consuming other Poison,0,3,0,1,0,0,0,2,0,0
Manipur,2014,By Self inflicting  Injury,0,0,0,0,0,0,0,0,0,0
Manipur,2014,By Jumping from,0,0,0,0,0,0,0,0,0,0
Manipur,2014,Building,0,0,0,0,0,0,0,0,0,0
Manipur,2014,Other sites,0,0,0,0,0,0,0,0,0,0
Manipur,2014,By Jumping off moving trains/vehicles,0,0,0,0,0,0,0,0,0,0
Manipur,2014,By Coming under running vehicles/trains,0,0,0,0,0,0,0,0,0,0
Manipur,2014,By touching electric wire,0,0,0,0,0,0,0,0,0,0
Manipur,2014,By Other means,0,3,1,1,0,0,0,1,0,0
Manipur,2014,Total,2,12,9,7,1,1,13,5,0,0
Meghalaya,2014,By consuming Sleeping Pills,0,0,0,0,0,0,0,0,0,0
Meghalaya,2014,By Drowning,0,1,4,1,0,0,0,0,0,0
Meghalaya,2014,By Fire/Self Immolation,0,0,0,0,0,0,2,0,0,0
Meghalaya,2014,By Firearms,0,0,0,0,0,0,0,0,0,0
Meghalaya,2014,By Hanging,2,30,20,10,4,3,10,4,0,1
Meghalaya,2014,By Poison,0,0,0,0,0,0,0,1,0,0
Meghalaya,2014,By Consuming Insecticides,0,0,0,0,0,0,0,0,0,0
Meghalaya,2014,By Consuming other Poison,0,0,0,0,0,0,0,1,0,0
Meghalaya,2014,By Self inflicting  Injury,0,0,0,0,0,0,0,0,0,0
Meghalaya,2014,By Jumping from,0,0,1,1,0,0,0,0,0,0
Meghalaya,2014,Building,0,0,0,0,0,0,0,0,0,0
Meghalaya,2014,Other sites,0,0,1,1,0,0,0,0,0,0
Meghalaya,2014,By Jumping off moving trains/vehicles,0,0,0,0,0,0,0,0,0,0
Meghalaya,2014,By Coming under running vehicles/trains,0,0,0,0,0,0,0,0,0,0
Meghalaya,2014,By touching electric wire,0,0,0,0,0,0,0,0,0,0
Meghalaya,2014,By Other means,0,0,0,1,0,0,3,0,0,0
Meghalaya,2014,Total,2,31,25,13,4,3,15,5,0,1
Mizoram,2014,By consuming Sleeping Pills,0,0,0,0,0,0,0,0,0,0
Mizoram,2014,By Drowning,0,0,0,0,0,0,0,0,0,0
Mizoram,2014,By Fire/Self Immolation,0,0,0,0,0,0,0,0,0,0
Mizoram,2014,By Firearms,0,1,1,0,0,0,0,0,0,0
Mizoram,2014,By Hanging,4,40,36,12,5,0,11,1,3,1
Mizoram,2014,By Poison,0,0,0,0,0,0,0,0,0,0
Mizoram,2014,By Consuming Insecticides,0,0,0,0,0,0,0,0,0,0
Mizoram,2014,By Consuming other Poison,0,0,0,0,0,0,0,0,0,0
Mizoram,2014,By Self inflicting  Injury,0,0,0,0,0,0,0,0,0,0
Mizoram,2014,By Jumping from,0,0,0,0,0,0,0,0,0,0
Mizoram,2014,Building,0,0,0,0,0,0,0,0,0,0
Mizoram,2014,Other sites,0,0,0,0,0,0,0,0,0,0
Mizoram,2014,By Jumping off moving trains/vehicles,0,0,0,0,0,0,0,0,0,0
Mizoram,2014,By Coming under running vehicles/trains,0,0,0,0,0,0,0,0,0,0
Mizoram,2014,By touching electric wire,0,0,0,0,0,0,0,0,0,0
Mizoram,2014,By Other means,0,0,1,0,0,0,0,0,0,0
Mizoram,2014,Total,4,41,38,12,5,0,11,1,3,1
Nagaland,2014,By consuming Sleeping Pills,0,0,0,0,0,0,0,0,0,0
Nagaland,2014,By Drowning,0,0,0,0,0,0,0,0,0,0
Nagaland,2014,By Fire/Self Immolation,0,0,0,0,0,0,0,0,0,0
Nagaland,2014,By Firearms,0,0,0,0,0,0,0,0,0,0
Nagaland,2014,By Hanging,0,3,3,0,1,0,3,1,0,0
Nagaland,2014,By Poison,0,0,0,0,0,0,0,0,0,0
Nagaland,2014,By Consuming Insecticides,0,0,0,0,0,0,0,0,0,0
Nagaland,2014,By Consuming other Poison,0,0,0,0,0,0,0,0,0,0
Nagaland,2014,By Self inflicting  Injury,0,0,0,0,0,0,0,0,0,0
Nagaland,2014,By Jumping from,0,0,0,1,0,0,0,0,0,0
Nagaland,2014,Building,0,0,0,1,0,0,0,0,0,0
Nagaland,2014,Other sites,0,0,0,0,0,0,0,0,0,0
Nagaland,2014,By Jumping off moving trains/vehicles,0,0,0,0,0,0,0,0,0,0
Nagaland,2014,By Coming under running vehicles/trains,0,0,0,0,0,0,0,0,0,0
Nagaland,2014,By touching electric wire,0,0,0,0,0,0,0,0,0,0
Nagaland,2014,By Other means,0,1,0,0,0,0,0,0,0,0
Nagaland,2014,Total,0,4,3,1,1,0,3,1,0,0
Odisha,2014,By consuming Sleeping Pills,0,15,3,4,2,0,13,9,3,3
Odisha,2014,By Drowning,5,58,16,14,7,10,41,6,3,3
Odisha,2014,By Fire/Self Immolation,1,6,18,5,0,2,21,19,13,1
Odisha,2014,By Firearms,0,2,4,0,0,0,0,0,0,0
Odisha,2014,By Hanging,1,357,192,136,17,8,336,149,60,14
Odisha,2014,By Poison,4,361,288,128,53,2,344,214,97,10
Odisha,2014,By Consuming Insecticides,0,116,64,22,9,0,86,39,10,1
Odisha,2014,By Consuming other Poison,4,245,224,106,44,2,258,175,87,9
Odisha,2014,By Self inflicting  Injury,0,10,5,2,1,0,0,0,0,0
Odisha,2014,By Jumping from,0,11,4,5,1,0,3,2,1,4
Odisha,2014,Building,0,0,0,2,0,0,0,0,0,0
Odisha,2014,Other sites,0,9,0,0,0,0,2,0,0,4
Odisha,2014,By Jumping off moving trains/vehicles,0,2,4,3,1,0,1,2,1,0
Odisha,2014,By Coming under running vehicles/trains,0,18,31,22,11,0,4,6,4,3
Odisha,2014,By touching electric wire,0,3,3,0,1,0,0,1,0,0
Odisha,2014,By Other means,14,144,116,158,71,14,189,109,97,14
Odisha,2014,Total,25,985,680,474,164,36,951,515,278,52
Punjab,2014,By consuming Sleeping Pills,0,1,0,0,0,0,0,0,0,0
Punjab,2014,By Drowning,1,6,5,0,2,0,5,3,2,0
Punjab,2014,By Fire/Self Immolation,0,1,4,2,1,0,4,1,1,0
Punjab,2014,By Firearms,0,9,5,2,0,0,2,1,0,0
Punjab,2014,By Hanging,2,104,88,33,5,1,62,40,8,1
Punjab,2014,By Poison,1,42,27,14,0,0,33,17,4,1
Punjab,2014,By Consuming Insecticides,1,20,10,7,0,0,7,9,3,0
Punjab,2014,By Consuming other Poison,0,22,17,7,0,0,26,8,1,1
Punjab,2014,By Self inflicting  Injury,0,1,0,0,0,0,0,1,1,0
Punjab,2014,By Jumping from,0,1,0,0,0,0,0,0,0,0
Punjab,2014,Building,0,1,0,0,0,0,0,0,0,0
Punjab,2014,Other sites,0,0,0,0,0,0,0,0,0,0
Punjab,2014,By Jumping off moving trains/vehicles,0,0,0,0,0,0,0,0,0,0
Punjab,2014,By Coming under running vehicles/trains,1,148,96,74,18,0,15,12,10,5
Punjab,2014,By touching electric wire,0,0,1,0,0,0,0,0,0,0
Punjab,2014,By Other means,0,3,5,7,0,1,0,1,1,0
Punjab,2014,Total,5,316,231,132,26,2,121,76,27,7
Rajasthan,2014,By consuming Sleeping Pills,0,12,14,4,5,0,4,1,2,2
Rajasthan,2014,By Drowning,6,108,72,25,10,4,45,24,5,1
Rajasthan,2014,By Fire/Self Immolation,2,45,44,7,2,3,62,31,4,1
Rajasthan,2014,By Firearms,0,6,3,1,1,0,0,0,1,0
Rajasthan,2014,By Hanging,6,574,360,130,29,7,256,91,29,1
