State,Gender,Type,Total,Year
Punjab,Male,Population attending educational institution,3756578.0,2011
Punjab,Male,Total population,14639465.0,2011
Chandigarh,Female,Below Primary,33295.0,2011
Chandigarh,Female,Graduate & above,15685.0,2011
Chandigarh,Female,Higher Secondary/Intermediate Pre-University/Senior secondary,18740.0,2011
Chandigarh,Female,Literate without education level,264.0,2011
Chandigarh,Female,Matric/Secondary,13716.0,2011
Chandigarh,Female,Middle,15297.0,2011
Chandigarh,Female,Non-technical diploma or certificate not equal to degree,93.0,2011
Chandigarh,Female,Primary,23471.0,2011
Chandigarh,Female,Technical diploma or certificate not equal to degree,885.0,2011
Chandigarh,Female,Unclassified,147.0,2011
Chandigarh,Female,Illiterates,17704.0,2011
Chandigarh,Female,Literates,121593.0,2011
Chandigarh,Female,Population attending educational institution,139297.0,2011
Chandigarh,Female,Total population,474787.0,2011
Chandigarh,Male,Below Primary,41359.0,2011
Chandigarh,Male,Graduate & above,16502.0,2011
Chandigarh,Male,Higher Secondary/Intermediate Pre-University/Senior secondary,22093.0,2011
Chandigarh,Male,Literate without education level,370.0,2011
Chandigarh,Male,Matric/Secondary,18276.0,2011
Chandigarh,Male,Middle,20097.0,2011
Chandigarh,Male,Non-technical diploma or certificate not equal to degree,129.0,2011
Chandigarh,Male,Primary,30526.0,2011
Chandigarh,Male,Technical diploma or certificate not equal to degree,2568.0,2011
Chandigarh,Male,Unclassified,240.0,2011
Chandigarh,Male,Illiterates,19525.0,2011
Chandigarh,Male,Literates,152160.0,2011
Chandigarh,Male,Population attending educational institution,171685.0,2011
Chandigarh,Male,Total population,580663.0,2011
Uttarakhand,Female,Below Primary,380649.0,2011
Uttarakhand,Female,Graduate & above,85971.0,2011
Uttarakhand,Female,Higher Secondary/Intermediate Pre-University/Senior secondary,114180.0,2011
Uttarakhand,Female,Literate without education level,9464.0,2011
Uttarakhand,Female,Matric/Secondary,163088.0,2011
Uttarakhand,Female,Middle,213251.0,2011
Uttarakhand,Female,Non-technical diploma or certificate not equal to degree,479.0,2011
Uttarakhand,Female,Primary,308125.0,2011
Uttarakhand,Female,Technical diploma or certificate not equal to degree,3320.0,2011
Uttarakhand,Female,Unclassified,2729.0,2011
Uttarakhand,Female,Illiterates,146699.0,2011
Uttarakhand,Female,Literates,1281256.0,2011
Uttarakhand,Female,Population attending educational institution,1427955.0,2011
Uttarakhand,Female,Total population,4948519.0,2011
Uttarakhand,Male,Below Primary,440981.0,2011
Uttarakhand,Male,Graduate & above,103171.0,2011
Uttarakhand,Male,Higher Secondary/Intermediate Pre-University/Senior secondary,127478.0,2011
Uttarakhand,Male,Literate without education level,9726.0,2011
Uttarakhand,Male,Matric/Secondary,201637.0,2011
Uttarakhand,Male,Middle,254645.0,2011
Uttarakhand,Male,Non-technical diploma or certificate not equal to degree,817.0,2011
Uttarakhand,Male,Primary,340668.0,2011
Uttarakhand,Male,Technical diploma or certificate not equal to degree,10164.0,2011
Uttarakhand,Male,Unclassified,3187.0,2011
Uttarakhand,Male,Illiterates,149523.0,2011
Uttarakhand,Male,Literates,1492474.0,2011
Uttarakhand,Male,Population attending educational institution,1641997.0,2011
Uttarakhand,Male,Total population,5137773.0,2011
Haryana,Female,Below Primary,868794.0,2011
Haryana,Female,Graduate & above,160774.0,2011
Haryana,Female,Higher Secondary/Intermediate Pre-University/Senior secondary,275593.0,2011
Haryana,Female,Literate without education level,13300.0,2011
Haryana,Female,Matric/Secondary,366254.0,2011
Haryana,Female,Middle,411715.0,2011
Haryana,Female,Non-technical diploma or certificate not equal to degree,2233.0,2011
Haryana,Female,Primary,640239.0,2011
Haryana,Female,Technical diploma or certificate not equal to degree,19685.0,2011
Haryana,Female,Unclassified,3489.0,2011
Haryana,Female,Illiterates,331629.0,2011
Haryana,Female,Literates,2762076.0,2011
Haryana,Female,Population attending educational institution,3093705.0,2011
Haryana,Female,Total population,11856728.0,2011
Haryana,Male,Below Primary,1114807.0,2011
Haryana,Male,Graduate & above,212169.0,2011
Haryana,Male,Higher Secondary/Intermediate Pre-University/Senior secondary,390142.0,2011
Haryana,Male,Literate without education level,19745.0,2011
Haryana,Male,Matric/Secondary,517200.0,2011
Haryana,Male,Middle,533233.0,2011
Haryana,Male,Non-technical diploma or certificate not equal to degree,5596.0,2011
Haryana,Male,Primary,825327.0,2011
Haryana,Male,Technical diploma or certificate not equal to degree,55753.0,2011
Haryana,Male,Unclassified,4812.0,2011
Haryana,Male,Illiterates,390445.0,2011
Haryana,Male,Literates,3678784.0,2011
Haryana,Male,Population attending educational institution,4069229.0,2011
Haryana,Male,Total population,13494734.0,2011
Delhi (Ut),Female,Below Primary,541731.0,2011
Delhi (Ut),Female,Graduate & above,170078.0,2011
Delhi (Ut),Female,Higher Secondary/Intermediate Pre-University/Senior secondary,213617.0,2011
Delhi (Ut),Female,Literate without education level,15295.0,2011
Delhi (Ut),Female,Matric/Secondary,247840.0,2011
Delhi (Ut),Female,Middle,303516.0,2011
Delhi (Ut),Female,Non-technical diploma or certificate not equal to degree,1554.0,2011
Delhi (Ut),Female,Primary,428574.0,2011
Delhi (Ut),Female,Technical diploma or certificate not equal to degree,9345.0,2011
Delhi (Ut),Female,Unclassified,1872.0,2011
Delhi (Ut),Female,Illiterates,193670.0,2011
Delhi (Ut),Female,Literates,1933422.0,2011
Delhi (Ut),Female,Population attending educational institution,2127092.0,2011
Delhi (Ut),Female,Total population,7800615.0,2011
Delhi (Ut),Male,Below Primary,658172.0,2011
Delhi (Ut),Male,Graduate & above,216965.0,2011
Delhi (Ut),Male,Higher Secondary/Intermediate Pre-University/Senior secondary,263754.0,2011
Delhi (Ut),Male,Literate without education level,20911.0,2011
Delhi (Ut),Male,Matric/Secondary,307347.0,2011
Delhi (Ut),Male,Middle,365462.0,2011
Delhi (Ut),Male,Non-technical diploma or certificate not equal to degree,1759.0,2011
Delhi (Ut),Male,Primary,518707.0,2011
Delhi (Ut),Male,Technical diploma or certificate not equal to degree,14278.0,2011
Delhi (Ut),Male,Unclassified,2475.0,2011
Delhi (Ut),Male,Illiterates,220143.0,2011
Delhi (Ut),Male,Literates,2369830.0,2011
Delhi (Ut),Male,Population attending educational institution,2589973.0,2011
Delhi (Ut),Male,Total population,8987326.0,2011
Rajasthan,Female,Below Primary,2617355.0,2011
Rajasthan,Female,Graduate & above,202391.0,2011
Rajasthan,Female,Higher Secondary/Intermediate Pre-University/Senior secondary,396009.0,2011
Rajasthan,Female,Literate without education level,86668.0,2011
Rajasthan,Female,Matric/Secondary,634358.0,2011
Rajasthan,Female,Middle,996926.0,2011
Rajasthan,Female,Non-technical diploma or certificate not equal to degree,989.0,2011
Rajasthan,Female,Primary,1845191.0,2011
Rajasthan,Female,Technical diploma or certificate not equal to degree,15316.0,2011
Rajasthan,Female,Unclassified,28176.0,2011
Rajasthan,Female,Illiterates,857588.0,2011
Rajasthan,Female,Literates,6823379.0,2011
Rajasthan,Female,Population attending educational institution,7680967.0,2011
Rajasthan,Female,Total population,32997440.0,2011
Rajasthan,Male,Below Primary,3110663.0,2011
Rajasthan,Male,Graduate & above,403958.0,2011
Rajasthan,Male,Higher Secondary/Intermediate Pre-University/Senior secondary,738345.0,2011
Rajasthan,Male,Literate without education level,120737.0,2011
Rajasthan,Male,Matric/Secondary,1075918.0,2011
Rajasthan,Male,Middle,1495448.0,2011
Rajasthan,Male,Non-technical diploma or certificate not equal to degree,1616.0,2011
Rajasthan,Male,Primary,2405927.0,2011
Rajasthan,Male,Technical diploma or certificate not equal to degree,54463.0,2011
Rajasthan,Male,Unclassified,36910.0,2011
Rajasthan,Male,Illiterates,948491.0,2011
Rajasthan,Male,Literates,9443985.0,2011
Rajasthan,Male,Population attending educational institution,10392476.0,2011
Rajasthan,Male,Total population,35550997.0,2011
Uttar Pradesh,Female,Below Primary,8268592.0,2011
Uttar Pradesh,Female,Graduate & above,875888.0,2011
Uttar Pradesh,Female,Higher Secondary/Intermediate Pre-University/Senior secondary,1721464.0,2011
Uttar Pradesh,Female,Literate without education level,215502.0,2011
Uttar Pradesh,Female,Matric/Secondary,2494094.0,2011
Uttar Pradesh,Female,Middle,3494801.0,2011
Uttar Pradesh,Female,Non-technical diploma or certificate not equal to degree,10528.0,2011
Uttar Pradesh,Female,Primary,5946260.0,2011
Uttar Pradesh,Female,Technical diploma or certificate not equal to degree,10872.0,2011
Uttar Pradesh,Female,Unclassified,82069.0,2011
Uttar Pradesh,Female,Illiterates,2855130.0,2011
Uttar Pradesh,Female,Literates,23120070.0,2011
Uttar Pradesh,Female,Population attending educational institution,25975200.0,2011
Uttar Pradesh,Female,Total population,95331831.0,2011
Uttar Pradesh,Male,Below Primary,9741289.0,2011
Uttar Pradesh,Male,Graduate & above,1494499.0,2011
Uttar Pradesh,Male,Higher Secondary/Intermediate Pre-University/Senior secondary,2364063.0,2011
Uttar Pradesh,Male,Literate without education level,308289.0,2011
Uttar Pradesh,Male,Matric/Secondary,3200379.0,2011
Uttar Pradesh,Male,Middle,4374456.0,2011
Uttar Pradesh,Male,Non-technical diploma or certificate not equal to degree,19835.0,2011
Uttar Pradesh,Male,Primary,6849110.0,2011
Uttar Pradesh,Male,Technical diploma or certificate not equal to degree,66063.0,2011
Uttar Pradesh,Male,Unclassified,106636.0,2011
Uttar Pradesh,Male,Illiterates,2897820.0,2011
Uttar Pradesh,Male,Literates,28524619.0,2011
Uttar Pradesh,Male,Population attending educational institution,31422439.0,2011
Uttar Pradesh,Male,Total population,104480510.0,2011
Bihar,Female,Below Primary,4998054.0,2011
Bihar,Female,Graduate & above,205715.0,2011
Bihar,Female,Higher Secondary/Intermediate Pre-University/Senior secondary,525688.0,2011
Bihar,Female,Literate without education level,231382.0,2011
Bihar,Female,Matric/Secondary,820143.0,2011
Bihar,Female,Middle,1357874.0,2011
Bihar,Female,Non-technical diploma or certificate not equal to degree,6607.0,2011
Bihar,Female,Primary,2782290.0,2011
Bihar,Female,Technical diploma or certificate not equal to degree,2131.0,2011
Bihar,Female,Unclassified,58642.0,2011
Bihar,Female,Illiterates,1618800.0,2011
Bihar,Female,Literates,10988526.0,2011
Bihar,Female,Population attending educational institution,12607326.0,2011
Bihar,Female,Total population,49821295.0,2011
Bihar,Male,Below Primary,5611878.0,2011
Bihar,Male,Graduate & above,594635.0,2011
Bihar,Male,Higher Secondary/Intermediate Pre-University/Senior secondary,1108211.0,2011
Bihar,Male,Literate without education level,218428.0,2011
Bihar,Male,Matric/Secondary,1279218.0,2011
Bihar,Male,Middle,1820492.0,2011
Bihar,Male,Non-technical diploma or certificate not equal to degree,14518.0,2011
Bihar,Male,Primary,3377686.0,2011
Bihar,Male,Technical diploma or certificate not equal to degree,14063.0,2011
Bihar,Male,Unclassified,68612.0,2011
Bihar,Male,Illiterates,1650162.0,2011
Bihar,Male,Literates,14107741.0,2011
Bihar,Male,Population attending educational institution,15757903.0,2011
Bihar,Male,Total population,54278157.0,2011
Sikkim,Female,Below Primary,26177.0,2011
Sikkim,Female,Graduate & above,3264.0,2011
Sikkim,Female,Higher Secondary/Intermediate Pre-University/Senior secondary,5560.0,2011
Sikkim,Female,Literate without education level,878.0,2011
Sikkim,Female,Matric/Secondary,7282.0,2011
Sikkim,Female,Middle,13714.0,2011
Sikkim,Female,Non-technical diploma or certificate not equal to degree,24.0,2011
Sikkim,Female,Primary,23337.0,2011
Sikkim,Female,Technical diploma or certificate not equal to degree,171.0,2011
Sikkim,Female,Unclassified,397.0,2011
Sikkim,Female,Illiterates,13564.0,2011
Sikkim,Female,Literates,80804.0,2011
Sikkim,Female,Population attending educational institution,94368.0,2011
Sikkim,Female,Total population,287507.0,2011
Sikkim,Male,Below Primary,29441.0,2011
Sikkim,Male,Graduate & above,3490.0,2011
Sikkim,Male,Higher Secondary/Intermediate Pre-University/Senior secondary,5369.0,2011
Sikkim,Male,Literate without education level,1403.0,2011
Sikkim,Male,Matric/Secondary,7235.0,2011
Sikkim,Male,Middle,12128.0,2011
Sikkim,Male,Non-technical diploma or certificate not equal to degree,36.0,2011
Sikkim,Male,Primary,22613.0,2011
Sikkim,Male,Technical diploma or certificate not equal to degree,300.0,2011
Sikkim,Male,Unclassified,961.0,2011
Sikkim,Male,Illiterates,13581.0,2011
Sikkim,Male,Literates,82976.0,2011
Sikkim,Male,Population attending educational institution,96557.0,2011
Sikkim,Male,Total population,323070.0,2011
Arunachal Pradesh,Female,Below Primary,58644.0,2011
Arunachal Pradesh,Female,Graduate & above,6463.0,2011
Arunachal Pradesh,Female,Higher Secondary/Intermediate Pre-University/Senior secondary,13685.0,2011
Arunachal Pradesh,Female,Literate without education level,967.0,2011
Arunachal Pradesh,Female,Matric/Secondary,21248.0,2011
Arunachal Pradesh,Female,Middle,31087.0,2011
Arunachal Pradesh,Female,Non-technical diploma or certificate not equal to degree,108.0,2011
Arunachal Pradesh,Female,Primary,50329.0,2011
Arunachal Pradesh,Female,Technical diploma or certificate not equal to degree,386.0,2011
Arunachal Pradesh,Female,Unclassified,437.0,2011
Arunachal Pradesh,Female,Illiterates,32362.0,2011
Arunachal Pradesh,Female,Literates,183354.0,2011
Arunachal Pradesh,Female,Population attending educational institution,215716.0,2011
Arunachal Pradesh,Female,Total population,669815.0,2011
Arunachal Pradesh,Male,Below Primary,63579.0,2011
Arunachal Pradesh,Male,Graduate & above,11486.0,2011
Arunachal Pradesh,Male,Higher Secondary/Intermediate Pre-University/Senior secondary,17365.0,2011
Arunachal Pradesh,Male,Literate without education level,1431.0,2011
Arunachal Pradesh,Male,Matric/Secondary,23658.0,2011
Arunachal Pradesh,Male,Middle,33677.0,2011
Arunachal Pradesh,Male,Non-technical diploma or certificate not equal to degree,296.0,2011
Arunachal Pradesh,Male,Primary,52799.0,2011
Arunachal Pradesh,Male,Technical diploma or certificate not equal to degree,1223.0,2011
Arunachal Pradesh,Male,Unclassified,630.0,2011
Arunachal Pradesh,Male,Illiterates,32069.0,2011
Arunachal Pradesh,Male,Literates,206144.0,2011
Arunachal Pradesh,Male,Population attending educational institution,238213.0,2011
Arunachal Pradesh,Male,Total population,713912.0,2011
Nagaland,Female,Below Primary,79104.0,2011
Nagaland,Female,Graduate & above,9036.0,2011
Nagaland,Female,Higher Secondary/Intermediate Pre-University/Senior secondary,21729.0,2011
Nagaland,Female,Literate without education level,2263.0,2011
Nagaland,Female,Matric/Secondary,26170.0,2011
Nagaland,Female,Middle,50324.0,2011
Nagaland,Female,Non-technical diploma or certificate not equal to degree,92.0,2011
Nagaland,Female,Primary,68457.0,2011
Nagaland,Female,Technical diploma or certificate not equal to degree,462.0,2011
Nagaland,Female,Unclassified,837.0,2011
Nagaland,Female,Illiterates,49728.0,2011
Nagaland,Female,Literates,258474.0,2011
Nagaland,Female,Population attending educational institution,308202.0,2011
Nagaland,Female,Total population,953853.0,2011
Nagaland,Male,Below Primary,87375.0,2011
Nagaland,Male,Graduate & above,10189.0,2011
Nagaland,Male,Higher Secondary/Intermediate Pre-University/Senior secondary,22734.0,2011
Nagaland,Male,Literate without education level,3292.0,2011
Nagaland,Male,Matric/Secondary,27051.0,2011
Nagaland,Male,Middle,52673.0,2011
Nagaland,Male,Non-technical diploma or certificate not equal to degree,71.0,2011
Nagaland,Male,Primary,73272.0,2011
Nagaland,Male,Technical diploma or certificate not equal to degree,847.0,2011
Nagaland,Male,Unclassified,921.0,2011
Nagaland,Male,Illiterates,51959.0,2011
Nagaland,Male,Literates,278425.0,2011
Nagaland,Male,Population attending educational institution,330384.0,2011
Nagaland,Male,Total population,1024649.0,2011
Manipur,Female,Below Primary,89606.0,2011
Manipur,Female,Graduate & above,19954.0,2011
Manipur,Female,Higher Secondary/Intermediate Pre-University/Senior secondary,36737.0,2011
Manipur,Female,Literate without education level,2852.0,2011
Manipur,Female,Matric/Secondary,46365.0,2011
Manipur,Female,Middle,71692.0,2011
Manipur,Female,Non-technical diploma or certificate not equal to degree,70.0,2011
Manipur,Female,Primary,84146.0,2011
Manipur,Female,Technical diploma or certificate not equal to degree,1343.0,2011
Manipur,Female,Unclassified,640.0,2011
Manipur,Female,Illiterates,66625.0,2011
Manipur,Female,Literates,353405.0,2011
Manipur,Female,Population attending educational institution,420030.0,2011
Manipur,Female,Total population,1417208.0,2011
Manipur,Male,Below Primary,96942.0,2011
Manipur,Male,Graduate & above,28335.0,2011
Manipur,Male,Higher Secondary/Intermediate Pre-University/Senior secondary,45012.0,2011
Manipur,Male,Literate without education level,3990.0,2011
Manipur,Male,Matric/Secondary,52437.0,2011
Manipur,Male,Middle,76495.0,2011
Manipur,Male,Non-technical diploma or certificate not equal to degree,160.0,2011
Manipur,Male,Primary,90102.0,2011
Manipur,Male,Technical diploma or certificate not equal to degree,1067.0,2011
Manipur,Male,Unclassified,835.0,2011
Manipur,Male,Illiterates,69143.0,2011
Manipur,Male,Literates,395375.0,2011
Manipur,Male,Population attending educational institution,464518.0,2011
Manipur,Male,Total population,1438586.0,2011
Mizoram,Female,Below Primary,43186.0,2011
Mizoram,Female,Graduate & above,4731.0,2011
Mizoram,Female,Higher Secondary/Intermediate Pre-University/Senior secondary,12217.0,2011
Mizoram,Female,Literate without education level,702.0,2011
Mizoram,Female,Matric/Secondary,15366.0,2011
Mizoram,Female,Middle,27418.0,2011
Mizoram,Female,Non-technical diploma or certificate not equal to degree,50.0,2011
Mizoram,Female,Primary,33596.0,2011
Mizoram,Female,Technical diploma or certificate not equal to degree,212.0,2011
Mizoram,Female,Unclassified,205.0,2011
Mizoram,Female,Illiterates,17881.0,2011
Mizoram,Female,Literates,137683.0,2011
Mizoram,Female,Population attending educational institution,155564.0,2011
Mizoram,Female,Total population,541867.0,2011
Mizoram,Male,Below Primary,47891.0,2011
Mizoram,Male,Graduate & above,6111.0,2011
Mizoram,Male,Higher Secondary/Intermediate Pre-University/Senior secondary,12996.0,2011
Mizoram,Male,Literate without education level,617.0,2011
Mizoram,Male,Matric/Secondary,15205.0,2011
Mizoram,Male,Middle,28355.0,2011
Mizoram,Male,Non-technical diploma or certificate not equal to degree,43.0,2011
Mizoram,Male,Primary,36694.0,2011
Mizoram,Male,Technical diploma or certificate not equal to degree,196.0,2011
Mizoram,Male,Unclassified,219.0,2011
Mizoram,Male,Illiterates,18563.0,2011
Mizoram,Male,Literates,148327.0,2011
Mizoram,Male,Population attending educational institution,166890.0,2011
Mizoram,Male,Total population,555339.0,2011
Tripura,Female,Below Primary,140272.0,2011
Tripura,Female,Graduate & above,6381.0,2011
Tripura,Female,Higher Secondary/Intermediate Pre-University/Senior secondary,23770.0,2011
Tripura,Female,Literate without education level,32359.0,2011
Tripura,Female,Matric/Secondary,29545.0,2011
Tripura,Female,Middle,77899.0,2011
Tripura,Female,Non-technical diploma or certificate not equal to degree,48.0,2011
Tripura,Female,Primary,112055.0,2011
Tripura,Female,Technical diploma or certificate not equal to degree,600.0,2011
Tripura,Female,Unclassified,3068.0,2011
Tripura,Female,Illiterates,46109.0,2011
Tripura,Female,Literates,425997.0,2011
Tripura,Female,Population attending educational institution,472106.0,2011
Tripura,Female,Total population,1799541.0,2011
Tripura,Male,Below Primary,146397.0,2011
Tripura,Male,Graduate & above,10082.0,2011
Tripura,Male,Higher Secondary/Intermediate Pre-University/Senior secondary,34915.0,2011
Tripura,Male,Literate without education level,21532.0,2011
Tripura,Male,Matric/Secondary,36285.0,2011
Tripura,Male,Middle,84698.0,2011
Tripura,Male,Non-technical diploma or certificate not equal to degree,93.0,2011
Tripura,Male,Primary,119998.0,2011
Tripura,Male,Technical diploma or certificate not equal to degree,1223.0,2011
Tripura,Male,Unclassified,2519.0,2011
Tripura,Male,Illiterates,46660.0,2011
Tripura,Male,Literates,457742.0,2011
Tripura,Male,Population attending educational institution,504402.0,2011
Tripura,Male,Total population,1874376.0,2011
Meghalaya,Female,Below Primary,156594.0,2011
Meghalaya,Female,Graduate & above,10837.0,2011
Meghalaya,Female,Higher Secondary/Intermediate Pre-University/Senior secondary,27901.0,2011
Meghalaya,Female,Literate without education level,2829.0,2011
Meghalaya,Female,Matric/Secondary,32234.0,2011
Meghalaya,Female,Middle,65757.0,2011
Meghalaya,Female,Non-technical diploma or certificate not equal to degree,30.0,2011
Meghalaya,Female,Primary,101364.0,2011
Meghalaya,Female,Technical diploma or certificate not equal to degree,482.0,2011
Meghalaya,Female,Unclassified,1287.0,2011
Meghalaya,Female,Illiterates,72774.0,2011
Meghalaya,Female,Literates,399315.0,2011
Meghalaya,Female,Population attending educational institution,472089.0,2011
Meghalaya,Female,Total population,1475057.0,2011
Meghalaya,Male,Below Primary,163980.0,2011
Meghalaya,Male,Graduate & above,10362.0,2011
Meghalaya,Male,Higher Secondary/Intermediate Pre-University/Senior secondary,26845.0,2011
Meghalaya,Male,Literate without education level,3285.0,2011
Meghalaya,Male,Matric/Secondary,30403.0,2011
Meghalaya,Male,Middle,59554.0,2011
Meghalaya,Male,Non-technical diploma or certificate not equal to degree,49.0,2011
Meghalaya,Male,Primary,94805.0,2011
Meghalaya,Male,Technical diploma or certificate not equal to degree,699.0,2011
Meghalaya,Male,Unclassified,1381.0,2011
Meghalaya,Male,Illiterates,75185.0,2011
Meghalaya,Male,Literates,391363.0,2011
Meghalaya,Male,Population attending educational institution,466548.0,2011
Meghalaya,Male,Total population,1491832.0,2011
Assam,Female,Below Primary,1122460.0,2011
Assam,Female,Graduate & above,58167.0,2011
Assam,Female,Higher Secondary/Intermediate Pre-University/Senior secondary,263138.0,2011
Assam,Female,Literate without education level,22508.0,2011
Assam,Female,Matric/Secondary,228434.0,2011
Assam,Female,Middle,660992.0,2011
Assam,Female,Non-technical diploma or certificate not equal to degree,164.0,2011
Assam,Female,Primary,881186.0,2011
Assam,Female,Technical diploma or certificate not equal to degree,2435.0,2011
Assam,Female,Unclassified,4901.0,2011
Assam,Female,Illiterates,402337.0,2011
Assam,Female,Literates,3244385.0,2011
Assam,Female,Population attending educational institution,3646722.0,2011
Assam,Female,Total population,15266133.0,2011
Assam,Male,Below Primary,1214643.0,2011
Assam,Male,Graduate & above,79481.0,2011
Assam,Male,Higher Secondary/Intermediate Pre-University/Senior secondary,330820.0,2011
Assam,Male,Literate without education level,32490.0,2011
Assam,Male,Matric/Secondary,244767.0,2011
Assam,Male,Middle,653016.0,2011
Assam,Male,Non-technical diploma or certificate not equal to degree,997.0,2011
Assam,Male,Primary,924239.0,2011
Assam,Male,Technical diploma or certificate not equal to degree,8354.0,2011
Assam,Male,Unclassified,6383.0,2011
Assam,Male,Illiterates,407004.0,2011
Assam,Male,Literates,3495190.0,2011
Assam,Male,Population attending educational institution,3902194.0,2011
Assam,Male,Total population,15939443.0,2011
West Bengal,Female,Below Primary,2972785.0,2011
West Bengal,Female,Graduate & above,272080.0,2011
West Bengal,Female,Higher Secondary/Intermediate Pre-University/Senior secondary,454871.0,2011
West Bengal,Female,Literate without education level,123076.0,2011
West Bengal,Female,Matric/Secondary,898746.0,2011
West Bengal,Female,Middle,1774093.0,2011
West Bengal,Female,Non-technical diploma or certificate not equal to degree,1719.0,2011
